Năng động,Hướng nội,Sáng tạo,Logic,Tò mò,Cảm thông,Yêu Công nghệ,Yêu Xã hội,Yêu Sức khỏe,Yêu Nghệ thuật,Nhom_NganH_Output
2,4,3,5,5,2,5,1,2,1,Công nghệ sinh - Hóa
5,1,4,3,3,2,2,5,2,1,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế
2,3,2,4,4,2,4,1,4,2,Hàng hải - Thủy lợi - Thời tiết
4,3,2,4,3,4,3,3,5,1,Công an - Quân đội
3,3,3,3,3,5,2,5,2,2,Sư phạm - Giáo dục
2,3,2,5,3,2,4,3,2,1,Kế toán - Kiểm toán
4,3,3,3,5,4,3,4,1,1,Ngoại giao - Ngoại ngữ
3,2,3,3,4,4,2,4,1,2,Ngoại giao - Ngoại ngữ
4,2,5,2,5,4,1,3,1,5,Mỹ thuật - Âm nhạc - Nghệ thuật
5,1,1,1,2,4,1,4,5,1,Thể dục - Thể thao
3,3,3,3,5,5,2,5,1,4,Văn hóa - Chính trị - Khoa học Xã hội
3,4,3,5,5,2,5,1,3,1,Công nghệ sinh - Hóa
5,2,4,4,4,3,3,5,2,1,Kinh tế - Quản trị kinh doanh - Thương Mại
4,1,2,2,3,3,2,4,5,1,Thể dục - Thể thao
3,3,3,5,4,2,3,3,1,1,Kế toán - Kiểm toán
2,5,3,4,5,1,5,2,2,2,Công nghiệp bán dẫn
3,3,3,3,3,5,2,5,2,2,Sư phạm - Giáo dục
4,2,3,3,3,5,2,5,1,1,Nhân sự - Hành chính
4,2,2,3,2,5,2,5,1,1,Nhân sự - Hành chính
2,3,2,4,5,4,3,3,1,1,Tài nguyên - Môi trường
3,3,2,3,4,2,3,1,4,1,Hàng hải - Thủy lợi - Thời tiết
4,1,2,4,3,3,3,2,4,1,Thủy sản - Lâm nghiệp - Nông nghiệp
5,1,4,3,5,3,2,5,2,2,Báo chí - Markerting - Quảng cáo - PR
5,2,4,3,4,2,3,5,2,1,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế
3,2,2,3,4,2,3,1,4,1,Hàng hải - Thủy lợi - Thời tiết
5,1,4,4,4,2,3,5,2,1,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế
3,5,2,5,5,1,3,1,2,2,Toán học và thống kê
1,4,3,5,5,1,5,1,2,1,Công nghệ vật liệu
1,3,2,4,4,5,2,3,2,2,Tâm lý
3,2,2,5,5,5,3,4,5,1,Y - dược
3,3,2,5,4,5,3,3,5,1,Y - dược
3,4,4,5,4,1,5,1,2,1,Hàng không - Vũ trụ - Hạt nhân
2,4,2,4,5,4,1,4,2,2,Tâm lý
4,2,1,3,3,3,3,2,4,1,Thủy sản - Lâm nghiệp - Nông nghiệp
2,3,3,5,4,1,5,1,3,1,Ô tô - Cơ khí - Chế tạo
2,2,2,4,5,2,5,1,3,1,Mỏ - Địa chất
5,2,2,2,2,4,1,4,5,1,Thể dục - Thể thao
4,1,3,3,3,5,2,5,1,1,Nhân sự - Hành chính
5,1,3,2,5,5,3,5,2,3,Du lịch - Khách sạn
5,1,5,3,4,3,3,4,2,3,Báo chí - Markerting - Quảng cáo - PR
4,3,5,1,4,5,1,3,2,5,Mỹ thuật - Âm nhạc - Nghệ thuật
4,1,3,4,3,4,4,4,5,1,Công an - Quân đội
5,1,2,2,2,3,1,4,5,1,Thể dục - Thể thao
5,2,4,5,4,2,3,5,2,1,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế
4,2,3,5,3,2,3,5,2,1,Tài chính - Ngân hàng - Bảo hiểm
3,3,3,5,4,4,2,3,5,1,Y - dược
3,3,2,3,5,4,3,3,2,2,Tài nguyên - Môi trường
2,3,2,5,5,1,5,1,1,1,Công nghiệp bán dẫn
3,2,3,5,4,1,5,1,2,1,Điện lạnh - Điện tử - Điện - Tự động hóa
4,3,3,5,3,1,5,1,2,1,Điện lạnh - Điện tử - Điện - Tự động hóa
3,4,2,5,4,4,3,5,1,1,Luật - Tòa án
4,3,3,5,4,5,3,3,5,1,Y - dược
4,1,4,5,3,2,3,3,1,2,Tài chính - Ngân hàng - Bảo hiểm
5,1,3,2,5,5,1,5,3,3,Du lịch - Khách sạn
4,3,5,1,4,5,1,3,1,4,Mỹ thuật - Âm nhạc - Nghệ thuật
2,4,3,5,5,2,5,1,1,2,Công nghiệp bán dẫn
2,4,3,5,5,2,3,1,1,1,Công nghệ sinh - Hóa
