nganh_hoc,longstring,irv,mahalanobis_d2,vuot_longstring,vuot_irv,vuot_mahalanobis,so_vi_pham,bi_loai
Công nghệ thông tin,2,0.9219544457292888,10.396682529654845,0,0,0,0,0
Công nghệ thông tin,3,1.044030650891055,5.931368381434496,0,0,0,0,0
Công nghệ thông tin,10,0.0,0.8329679811025518,1,1,0,2,1
Quản trị dịch vụ du lịch và lữ hành,2,0.7745966692414834,18.034517231959434,0,0,0,0,0
Tài chính ngân hàng,5,0.8000000000000002,7.588800239192601,0,0,0,0,0
Thương mại điện tử,4,0.8000000000000002,6.042614692578056,0,0,0,0,0
Công nghệ thông tin,4,0.5385164807134505,2.557370592649699,0,0,0,0,0
Quản trị kinh doanh,3,0.5385164807134505,2.964885089830832,0,0,0,0,0
Quản trị kinh doanh,3,0.9797958971132713,12.231979089871897,0,0,0,0,0
Khoa học dinh dưỡng và ẩm thực,10,0.0,11.995187939679855,1,1,0,2,1
Marketing,3,0.9433981132056604,13.73984710657839,0,0,0,0,0
Marketing,3,0.6324555320336759,5.5917445319165715,0,0,0,0,0
Tài chính ngân hàng,5,0.6,4.681197256707298,0,0,0,0,0
Luật kinh tế,2,0.8717797887081347,7.232033315870552,0,0,0,0,0
Tài chính ngân hàng,4,0.39999999999999997,2.5261024087793835,0,0,0,0,0
Tài chính ngân hàng,10,0.0,5.258607074317781,1,1,0,2,1
Kế toán,10,0.0,5.258607074317781,1,1,0,2,1
Tài chính ngân hàng,2,0.8,7.816682916575942,0,0,0,0,0
Kế toán,3,0.7,5.261177137101212,0,0,0,0,0
Thương mại điện tử,5,1.5652475842498528,13.052592896019046,0,0,0,0,0
Công nghệ thông tin,2,1.3,7.235915362190855,0,0,0,0,0
Công nghệ thông tin,2,1.3,7.235915362190855,0,0,0,0,0
Quản lý tài nguyên và môi trường,5,0.9797958971132712,17.394693075670606,0,0,0,0,0
Tài chính ngân hàng,6,0.45825756949558405,3.710300199262047,0,0,0,0,0
Luật kinh tế,10,0.0,5.258607074317781,1,1,0,2,1
Tài chính ngân hàng,7,0.3,1.230749075990996,0,0,0,0,0
Thương mại điện tử,7,0.6403124237432848,13.753001514282925,0,0,0,0,0
Thương mại điện tử,5,0.3,3.000995482160772,0,0,0,0,0
Đảm bảo chất lượng và an toàn thực phẩm,2,0.9797958971132712,9.479536029360002,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,1,1.2041594578792296,10.684328590063199,0,0,0,0,0
Trí tuệ nhân tạo,2,1.469693845669907,10.11162762096905,0,0,0,0,0
Ngôn ngữ Anh,2,1.1357816691600546,16.4107249558649,0,0,0,0,0
Công nghệ chế biến thủy sản,3,0.8944271909999159,8.71483785853834,0,0,0,0,0
Công nghệ thực phẩm,3,0.9,8.106188763161846,0,0,0,0,0
Công nghệ chế tạo máy,4,1.3,10.29107523967782,0,0,0,0,0
Ngôn ngữ Trung Quốc,2,1.3,16.587315839393966,0,0,0,0,0
Kinh doanh quốc tế,2,1.2206555615733703,8.45307784921668,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,2,1.374772708486752,11.90327632528637,0,0,0,0,0
Kỹ thuật nhiệt,3,0.9165151389911681,6.606218378529721,0,0,0,0,0
Công nghệ kỹ thuật hóa học,7,1.2806248474865698,13.449917963209884,0,0,0,0,0
Công nghệ thông tin,2,0.6,4.1509979054029476,0,0,0,0,0
