ma_nganh,ttth,khaosat,nganh,nhom
7510601,0,7,Quản lý Công nghiệp,Logistics & Quản lý sản xuất
7510605,0,10,Logistics và quản lý chuỗi cung ứng,Logistics & Quản lý sản xuất
7810101,0,10,Du lịch,"Du lịch, Khách sạn & Ẩm thực"
7480107,0,15,Trí tuệ nhân tạo,CNTT & Máy tính
7380101,0,10,Luật,Luật & Ngôn ngữ
7510402,18,18,Công nghệ vật liệu,Hoá - Vật liệu - Dệt may
7510406,35,6,Công nghệ kỹ thuật môi trường,"Thực phẩm, Sinh học & Môi trường"
7540105,69,7,Công nghệ chế biến thủy sản,"Thực phẩm, Sinh học & Môi trường"
7819009,89,10,Khoa học dinh dưỡng và ẩm thực,"Du lịch, Khách sạn & Ẩm thực"
7460108,104,11,Khoa học dữ liệu,CNTT & Máy tính
7340205,119,17,Công nghệ tài chính,Tài chính & Kế toán
7340123,126,9,Kinh doanh thời trang và dệt may,Logistics & Quản lý sản xuất
7819010,151,8,Khoa học chế biến món ăn,"Du lịch, Khách sạn & Ẩm thực"
7520115,151,16,Kỹ thuật nhiệt,Hoá - Vật liệu - Dệt may
7850101,167,9,Quản lý tài nguyên và môi trường,"Thực phẩm, Sinh học & Môi trường"
7340122,193,19,Thương mại điện tử,Kinh doanh & Marketing
7540204,267,17,"Công nghệ dệt, may",Hoá - Vật liệu - Dệt may
7810103,342,22,Quản trị dịch vụ du lịch và lữ hành,"Du lịch, Khách sạn & Ẩm thực"
7340129,343,10,Quản trị kinh doanh thực phẩm,"Thực phẩm, Sinh học & Môi trường"
7540106,345,10,Đảm bảo chất lượng và an toàn thực phẩm,"Thực phẩm, Sinh học & Môi trường"
7220204,356,18,Ngôn ngữ Trung Quốc,Luật & Ngôn ngữ
7420201,370,27,Công nghệ sinh học,"Thực phẩm, Sinh học & Môi trường"
7510401,397,23,Công nghệ kỹ thuật hóa học,Hoá - Vật liệu - Dệt may
7810202,418,16,Quản trị nhà hàng và dịch vụ ăn uống,"Du lịch, Khách sạn & Ẩm thực"
7510202,429,12,Công nghệ chế tạo máy,Cơ khí - Điện - Tự động hoá
7510203,452,21,Công nghệ kỹ thuật cơ điện tử,Cơ khí - Điện - Tự động hoá
7810201,478,12,Quản trị khách sạn,"Du lịch, Khách sạn & Ẩm thực"
7510301,494,26,Công nghệ kỹ thuật điện - điện tử,Cơ khí - Điện - Tự động hoá
7220201,605,23,Ngôn ngữ Anh,Luật & Ngôn ngữ
7480202,612,12,An toàn thông tin,CNTT & Máy tính
7510303,615,20,Công nghệ kỹ thuật điều khiển và TĐH,Cơ khí - Điện - Tự động hoá
7380107,804,20,Luật kinh tế,Luật & Ngôn ngữ
7340301,815,27,Kế toán,Tài chính & Kế toán
7340115,828,24,Marketing,Kinh doanh & Marketing
7340120,854,14,Kinh doanh quốc tế,Kinh doanh & Marketing
7340201,893,24,Tài chính ngân hàng,Tài chính & Kế toán
7540101,934,47,Công nghệ thực phẩm,"Thực phẩm, Sinh học & Môi trường"
7340101,991,22,Quản trị kinh doanh,Kinh doanh & Marketing
7480201,1832,47,Công nghệ thông tin,CNTT & Máy tính
