thoi_gian,nganh_hoc,gioi_tinh,to_hop_thi,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,muc_tieu_ma,muc_tieu_nhan,ghi_chu_thieu_du_lieu,ma_nganh,ma_khoi_nganh,ten_khoi_nganh
8/11/2026 13:32,Marketing,Nữ,D01,4,3,4,3,3,3,4,3,4,4,7.5,,5.5,7.8,,,,,,,1,Đi làm,,7340115,1,Kinh doanh & Quản lý
7/18/2026 21:12,Công nghệ thông tin,Nam,A00,3,4,4,5,4,2,1,1,3,2,,,,8.2,,,,7.6,8.0,,1,Đi làm,,7480201,0,CNTT & Máy tính
8/14/2026 10:13,Quản trị kinh doanh thực phẩm,Nữ,C02,3,2,4,4,3,4,2,2,3,2,7.5,,,6.75,,,,,6.75,,1,Đi làm,,7340129,4,"Thực phẩm, Sinh học & Môi trường"
8/14/2026 11:13,Quản trị khách sạn,Nữ,A01,5,5,5,4,5,5,5,4,5,5,,,6.0,8.0,,,,7.0,,,2,Nghiên cứu,,7810201,2,"Du lịch, Khách sạn & Ẩm thực"
8/12/2026 16:30,Kinh doanh quốc tế,Nữ,A01,3,2,5,4,5,5,5,4,4,4,,,6.25,7.0,,,,7.75,,,3,Kinh doanh,,7340120,1,Kinh doanh & Quản lý
8/14/2026 11:46,Trí tuệ nhân tạo,Nam,A00,1,5,4,5,5,1,1,1,2,1,,,,7.0,,,,7.0,7.75,,1,Đi làm,,7480107,0,CNTT & Máy tính
8/13/2026 14:25,Công nghệ kỹ thuật điện - điện tử,Nam,D07,3,2,3,4,3,1,2,1,2,2,,,7.75,8.75,,,,,6.5,,1,Đi làm,,7510301,3,Kỹ thuật & Công nghệ
8/13/2026 11:25,Công nghệ kỹ thuật cơ điện tử,Nam,A00,3,3,5,5,5,5,5,5,4,5,,,,8.0,,,,8.0,8.0,,4,Chưa xác định,,7510203,3,Kỹ thuật & Công nghệ
7/18/2026 18:43,Tài chính ngân hàng,Nữ,D01,3,4,4,2,4,2,4,4,3,4,7.0,,7.8,7.6,,,,,,,1,Đi làm,,7340201,1,Kinh doanh & Quản lý
7/21/2026 16:01,Ngôn ngữ Anh,Nam,D01,5,1,4,4,3,3,5,4,1,5,9.25,,7.0,8.9,,,,,,,3,Kinh doanh,,7220201,6,Ngoại ngữ
