to_hop_thi,ma_nganh,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,j_nganh,ma_nhom
B00,7540101,,,,8.25,,,,,8.25,8.0,ttth,28,7
A00,7380107,,,,8.0,,,,7.5,6.5,,ttth,12,8
D01,7510202,8.0,,4.8,7.0,,,,,,,ttth,18,5
D01,7810202,7.8,,7.2,5.75,,,,,,,ttth,35,4
A01,7340201,,,7.6,8.0,,,,8.0,,,ttth,8,2
A00,7340101,,,,6.5,,,,8.0,7.0,,ttth,2,1
A00,7340115,,,,8.0,,,,8.25,7.0,,ttth,3,1
A00,7340301,,,,6.75,,,,8.25,6.4,,ttth,10,2
D01,7510303,8.5,,6.0,6.8,,,,,,,ttth,21,5
D01,7340301,8.6,,7.2,7.5,,,,,,,ttth,10,2
D01,7540204,5.4,,5.8,8.0,,,,,,,ttth,31,6
B00,7420201,,,,7.25,,,,,6.75,7.6,ttth,13,7
A01,7340201,,,8.8,7.0,,,,7.25,,,ttth,8,2
A00,7480201,,,,8.0,,,,8.0,7.4,,ttth,16,0
A00,7340201,,,,6.25,,,,8.0,7.2,,ttth,8,2
D01,7460108,5.4,,7.2,6.5,,,,,,,ttth,14,0
A00,7510303,,,,7.0,,,,7.75,7.6,,ttth,21,5
D01,7480202,6.5,,6.6,6.6,,,,,,,ttth,17,0
D01,7220204,5.4,,8.0,8.5,,,,,,,ttth,1,8
D09,7220204,,,9.2,7.4,,,7.0,,,,ttth,1,8
A00,7340122,,,,6.5,,,,8.5,6.6,,ttth,5,1
D01,7380107,5.0,,8.6,8.25,,,,,,,ttth,12,8
D01,7340101,7.0,,8.4,8.6,,,,,,,ttth,2,1
D01,7340201,6.0,,7.8,7.0,,,,,,,ttth,8,2
D01,7220201,7.2,,6.2,7.5,,,,,,,ttth,0,8
D01,7340120,7.8,,7.4,8.75,,,,,,,ttth,4,1
A00,7340101,,,,6.75,,,,9.0,7.8,,ttth,2,1
A01,7510303,,,7.8,6.5,,,,7.0,,,ttth,21,5
A00,7480201,,,,6.5,,,,7.25,7.0,,ttth,16,0
D01,7480201,8.6,,8.0,7.5,,,,,,,ttth,16,0
A01,7480201,,,7.2,6.5,,,,7.2,,,ttth,16,0
A01,7480201,,,8.2,8.0,,,,7.25,,,ttth,16,0
D01,7810201,9.2,,7.2,7.0,,,,,,,ttth,34,4
A00,7340101,,,,7.0,,,,7.75,7.2,,ttth,2,1
D01,7480201,8.0,,8.8,8.6,,,,,,,ttth,16,0
D01,7810202,4.4,,7.0,6.75,,,,,,,ttth,35,4
A00,7540101,,,,7.5,,,,8.0,7.8,,ttth,28,7
D01,7340120,7.5,,8.2,7.6,,,,,,,ttth,4,1
A00,7810201,,,,6.75,,,,7.0,6.4,,ttth,34,4
A00,7480201,,,,8.25,,,,7.25,8.2,,ttth,16,0
D01,7810103,5.6,,7.0,6.0,,,,,,,ttth,33,4
