thoi_gian,nganh_hoc,gioi_tinh,to_hop_thi,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,muc_tieu_ma,muc_tieu_nhan,ghi_chu_thieu_du_lieu,ma_nganh,nguon_du_lieu,sample_weight
8/14/2026 11:10,Luật,Nam,X01,2,4,2,5,4,2,1,1,4,2,6.5,,,6.75,5.0,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 14:47,Luật,Nu,X01,3,4,3,5,5,3,1,4,4,2,9.0,,,9.5,6.5,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/15/2026 20:19,Luật,Nu,D01,5,2,2,5,3,3,2,3,4,2,7.25,,8.75,8.25,,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/14/2026 10:21,Luật,Nam,C00,2,3,2,5,5,1,3,1,5,1,7.0,5.0,,,,,6.75,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/12/2026 15:19,Luật,Nam,D01,3,2,2,1,2,1,1,4,5,2,8.0,,7.0,5.0,,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,5,4,2,5,4,2,1,4,1,1,,,8.0,8.0,,,,8.0,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nam,D01,3,2,4,5,3,1,1,1,3,1,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nu,D01,2,3,2,1,5,4,5,2,2,1,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nam,D07,4,2,4,1,5,1,2,5,1,2,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/15/2026 20:19,Luật,Nu,D01,5,2,2,5,4,2,2,3,3,2,7.25,,8.75,8.25,,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/15/2026 20:19,Luật,Nam,D01,5,3,2,5,3,2,3,2,1,1,7.25,,8.75,8.25,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nu,X01,5,2,2,5,2,2,1,3,2,2,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nam,X01,4,3,3,2,4,1,2,2,5,2,9.0,,,5.25,8.75,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/13/2026 14:47,Luật,Nam,X01,4,2,2,4,3,2,2,2,5,2,9.0,,,9.5,6.5,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nam,X01,5,4,2,4,4,5,1,2,2,2,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,5,3,2,5,3,2,3,2,1,1,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 14:47,Luật,Nu,X01,3,3,2,5,3,1,1,1,3,2,9.0,,,9.5,6.5,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nu,X01,3,4,3,1,2,1,3,2,5,2,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nu,D01,3,2,4,5,3,1,1,1,3,1,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,3,1,3,5,5,5,3,5,5,2,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nu,D01,5,2,2,5,4,2,2,3,3,2,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/12/2026 15:19,Luật,Nam,D01,5,4,3,5,5,5,2,3,1,4,8.0,,7.0,5.0,,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nu,D07,3,1,3,5,5,5,3,5,5,2,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/15/2026 20:19,Luật,Nu,D01,3,3,2,4,3,2,4,1,5,2,7.25,,8.75,8.25,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nu,D07,4,2,3,5,3,1,1,2,4,1,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nu,X01,4,3,4,1,4,1,3,2,3,2,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
