ma_nganh,to_hop_thi,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin,nguon_diem,ma_khoi_nganh,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,gioi_tinh,muc_tieu_nhan,muc_tieu_ma,nganh_hoc,ten_khoi_nganh,nguon_du_lieu
7220201,D01,6.75,,,7.6,7.4,,,,,,ttth_that,6,4,1,4,2,4,2,1,3,2,3,Nam,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,7.75,,,8.2,6.4,,,,,,ttth_that,6,3,5,4,5,5,5,4,5,5,3,Nam,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,7.6,,,8.8,7.25,,,,,,ttth_that,6,4,3,4,5,3,4,5,4,5,4,Nam,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,7.6,,,8.0,8.5,,,,,,ttth_that,6,5,2,3,4,5,5,5,4,4,4,Nu,Chưa xác định,4,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,7.0,,,7.6,7.8,,,,,,ttth_that,6,3,5,5,5,5,3,5,4,4,2,Nam,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D09,9.0,,,6.2,,6.6,,,,,ttth_that,6,3,2,4,2,3,1,1,3,1,3,Nam,Chưa xác định,4,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D09,8.25,,,7.4,,7.6,,,,,ttth_that,6,4,4,4,4,5,5,4,5,5,4,Nu,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,8.0,,,9.0,7.25,,,,,,ttth_that,6,3,2,3,3,2,5,4,5,2,3,Nu,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,7.0,,,7.8,8.25,,,,,,ttth_that,6,3,3,4,4,3,1,3,3,2,3,Nam,Kinh doanh,3,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,7.5,,,6.4,7.8,,,,,,ttth_that,6,5,5,5,4,5,3,4,4,4,4,Nu,Kinh doanh,3,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,A01,7.4,7.5,,9.2,,,,,,,ttth_that,6,5,1,4,4,4,2,3,3,4,3,Nam,Kinh doanh,3,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,8.0,,,5.6,7.6,,,,,,ttth_that,6,4,3,4,5,5,5,5,5,5,4,Nam,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
7220201,D01,7.2,,,8.8,8.0,,,,,,ttth_that,6,5,5,5,5,5,3,5,5,5,4,Nu,Đi làm,1,Ngôn ngữ Anh,Ngoại ngữ,synthetic_GA
