ma_nganh,nganh_hoc,ma_khoi_nganh,ten_khoi_nganh,to_hop_thi,gioi_tinh,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin,muc_tieu_ma,muc_tieu_nhan,nguon_du_lieu,is_real,w_nguon,w_lop,sample_weight
7340115,Marketing,1,Kinh doanh & Quản lý,D01,Nu,4,3,4,3,3,3,4,3,4,4,7.8,,,5.5,7.5,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7480201,Công nghệ thông tin,0,CNTT & Máy tính,A00,Nam,3,4,4,5,4,2,1,1,3,2,8.2,7.6,8.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7340129,Quản trị kinh doanh thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",C02,Nu,3,2,4,4,3,4,2,2,3,2,6.75,,6.75,,7.5,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1432699806019775,14.735056242314176
7810201,Quản trị khách sạn,2,"Du lịch, Khách sạn & Ẩm thực",A01,Nu,5,5,5,4,5,5,5,4,5,5,8.0,7.0,,6.0,,,,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,0.9855750309951756,12.702601974284125
7340120,Kinh doanh quốc tế,1,Kinh doanh & Quản lý,A01,Nu,3,2,5,4,5,5,5,4,4,4,7.0,7.75,,6.25,,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.8923815520650734,11.501476101348208
7480107,Trí tuệ nhân tạo,0,CNTT & Máy tính,A00,Nam,1,5,4,5,5,1,1,1,2,1,7.0,7.0,7.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.2368741258075882,15.941474995120211
7510301,Công nghệ kỹ thuật điện - điện tử,3,Kỹ thuật & Công nghệ,D07,Nam,3,2,3,4,3,1,2,1,2,2,8.75,,6.5,7.75,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8288766335138786,10.68299178671351
7510203,Công nghệ kỹ thuật cơ điện tử,3,Kỹ thuật & Công nghệ,A00,Nam,3,3,5,5,5,5,5,5,4,5,8.0,8.0,8.0,,,,,,,,4,Chưa xác định,khaosat_that,1,24.034843205574912,0.8892794233388177,11.46149425801475
7340201,Tài chính ngân hàng,1,Kinh doanh & Quản lý,D01,Nu,3,4,4,2,4,2,4,4,3,4,7.6,,,7.8,7.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7220201,Ngôn ngữ Anh,6,Ngoại ngữ,D01,Nam,5,1,4,4,3,3,5,4,1,5,8.9,,,7.0,9.25,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7480107,Trí tuệ nhân tạo,0,CNTT & Máy tính,X26,Nam,3,3,5,5,3,2,1,2,1,1,5.5,,,6.0,,,,,,9.0,3,Kinh doanh,khaosat_that,1,24.034843205574912,1.2368741258075882,15.941474995120211
7819009,Khoa học dinh dưỡng và ẩm thực,2,"Du lịch, Khách sạn & Ẩm thực",D07,Nu,2,2,2,4,5,4,3,4,2,2,7.0,,6.5,9.5,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.4377034711558565,18.529867718644464
7540105,Công nghệ chế biến thủy sản,4,"Thực phẩm, Sinh học & Môi trường",B00,Nu,3,2,3,4,3,3,3,4,2,1,7.5,,8.5,,,,6.25,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.5507124244489838,19.986385698572963
7380101,Luật,5,Luật,C00,Nu,2,5,2,1,4,4,3,5,1,2,,,,,7.0,6.75,,5.0,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.4377034711558565,18.529867718644464
7340101,Quản trị kinh doanh,1,Kinh doanh & Quản lý,A00,Nam,4,2,3,5,2,2,1,1,2,2,5.75,9.25,8.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8182598428351611,10.546157084133975
7480201,Công nghệ thông tin,0,CNTT & Máy tính,A01,Nam,2,4,3,5,4,2,2,2,3,2,7.5,8.5,,8.6,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7420201,Công nghệ sinh học,4,"Thực phẩm, Sinh học & Môi trường",B00,Nu,3,4,3,4,4,4,4,4,4,4,7.8,,7.0,,,,7.5,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8708927878129367,11.224517766741764
7510202,Công nghệ chế tạo máy,3,Kỹ thuật & Công nghệ,D07,Nu,2,4,4,4,3,1,2,1,3,1,5.5,,9.0,7.5,,,,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,1.0220054747262495,13.172136420581039
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",A00,Nu,2,3,3,3,3,4,3,4,4,4,6.0,7.0,8.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7510301,Công nghệ kỹ thuật điện - điện tử,3,Kỹ thuật & Công nghệ,A01,Nam,5,3,3,4,5,5,5,3,5,4,7.8,7.4,,6.5,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8288766335138786,10.68299178671351
7340101,Quản trị kinh doanh,1,Kinh doanh & Quản lý,D07,Nu,5,2,4,4,2,2,2,1,4,2,5.0,,8.75,5.5,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8182598428351611,10.546157084133975
7460108,Khoa học dữ liệu,0,CNTT & Máy tính,A00,Nu,3,5,3,2,3,5,5,5,2,5,9.2,8.5,8.2,,,,,,,,4,Chưa xác định,khaosat_that,1,24.034843205574912,1.3897374868094585,17.911657244255913
7480201,Công nghệ thông tin,0,CNTT & Máy tính,D01,Nu,1,4,3,4,4,5,4,2,3,3,8.0,,,6.25,6.25,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7510301,Công nghệ kỹ thuật điện - điện tử,3,Kỹ thuật & Công nghệ,D01,Nam,3,3,5,4,5,5,5,4,4,4,6.0,,,7.0,6.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8288766335138786,10.68299178671351
7510401,Công nghệ kỹ thuật hóa học,3,Kỹ thuật & Công nghệ,A00,Nu,3,3,5,3,4,3,3,4,2,5,5.75,6.25,7.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8917400193165795,11.493207694680725
7420201,Công nghệ sinh học,4,"Thực phẩm, Sinh học & Môi trường",B00,Nam,2,5,2,4,4,4,3,4,3,1,6.0,,6.0,,,,7.0,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8708927878129367,11.224517766741764
7510301,Công nghệ kỹ thuật điện - điện tử,3,Kỹ thuật & Công nghệ,A00,Nu,1,4,4,4,3,1,2,2,1,1,9.0,5.5,8.25,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8288766335138786,10.68299178671351
7510301,Công nghệ kỹ thuật điện - điện tử,3,Kỹ thuật & Công nghệ,A01,Nam,5,1,5,5,1,1,1,1,5,1,5.0,6.0,,6.0,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8288766335138786,10.68299178671351
7220204,Ngôn ngữ Trung Quốc,6,Ngoại ngữ,C00,Nu,4,5,3,3,4,4,4,5,4,4,,,,,8.5,8.5,,9.5,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.9874924870578896,12.727315142132177
7220201,Ngôn ngữ Anh,6,Ngoại ngữ,D14,Nam,5,3,4,2,5,2,1,2,2,3,,,,7.25,5.75,5.25,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7340301,Kế toán,1,Kinh doanh & Quản lý,D01,Nu,3,3,4,3,4,2,4,4,4,4,7.5,,,8.3,8.0,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.7833972464749971,10.096829867609294
7340122,Thương mại điện tử,1,Kinh doanh & Quản lý,A00,Nu,2,4,2,3,2,4,3,2,5,3,8.0,8.0,8.0,,,,,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,1.1039176330851415,14.227862785155134
