likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu,ma_nganh,ma_nhom,nguon,is_that,sample_weight
2.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,-1.5,0.5,1.5,-0.5,1.5,-0.5,-0.5,0.5,-0.5,-0.5,3.5,0.9219544457292888,,,7.8,7.8,,,,7.3,,,,,0.4163768672851156,0.507122736180064,,,,0.1254017837434843,,,7.633333333333333,0.5,0.3496337957362213,0.507122736180064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480201,0,khaosat,1,1.0
2.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,-0.8999999999999999,1.1,0.10000000000000009,2.1,1.1,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,0.10000000000000009,-0.8999999999999999,2.9,1.044030650891055,,,8.6,7.5,,,,8.5,,,,,1.17319864193432,0.16014405860468997,,,,1.4019931118630584,,,8.200000000000001,1.0999999999999996,0.9117786041340228,1.4019931118630584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480201,0,khaosat,1,1.0
3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,2.0,0.7745966692414834,8.25,,6.5,8.0,,,,,,,1.1427317087152296,,-0.8134585165198418,0.7384418545636469,,,,,,,7.583333333333333,1.75,0.35590501558634485,1.1427317087152296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7810103,4,khaosat,1,1.0
3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,-0.3999999999999999,1.6,-0.3999999999999999,-0.3999999999999999,1.6,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,3.4,0.8000000000000002,,,8.2,8.0,,,,6.8,,,,,0.7947877546097174,0.7384418545636469,,,,-0.4065112696396715,,,7.666666666666667,1.3999999999999995,0.3755727798445642,0.7947877546097174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7340201,2,khaosat,1,1.0
4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.3999999999999999,-1.6,0.3999999999999999,0.3999999999999999,0.3999999999999999,-1.6,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,3.6,0.8000000000000002,,,6.5,7.0,,,,8.5,,,,,-0.8134585165198418,-0.418153737354267,,,,1.4019931118630584,,,7.333333333333333,2.0,0.05679361932964988,1.4019931118630584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340122,1,khaosat,1,1.0
4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.1,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,-0.8999999999999999,-0.8999999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,2.9,0.5385164807134505,,,,7.6,,,,6.8,7.2,,,,,0.27580361779648094,,,,-0.4065112696396715,-0.22234820068075561,,7.199999999999999,0.7999999999999998,-0.11768528417464873,0.27580361779648094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7480201,0,khaosat,1,1.0
3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.10000000000000009,1.1,0.10000000000000009,0.10000000000000009,0.10000000000000009,-0.8999999999999999,-0.8999999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,2.9,0.5385164807134505,8.25,,5.6,7.6,,,,,,,1.1427317087152296,,-1.6648830130001973,0.27580361779648094,,,,,,,7.1499999999999995,2.6500000000000004,-0.08211589549616226,1.1427317087152296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340101,1,khaosat,1,1.0
4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,0.7999999999999998,-1.2000000000000002,-1.2000000000000002,0.7999999999999998,0.7999999999999998,-1.2000000000000002,0.7999999999999998,0.7999999999999998,0.7999999999999998,-1.2000000000000002,3.2,0.9797958971132713,,,,8.3,,,,7.5,7.0,,,,,1.085420532139022,,,,0.3381670050967468,-0.46117861903216595,,7.6000000000000005,1.3000000000000007,0.32080297273453423,1.085420532139022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7340101,1,khaosat,1,1.0
3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-2.1,0.8999999999999999,0.8999999999999999,-1.1,-0.10000000000000009,3.1,0.9433981132056604,,,,7.0,,,,8.0,8.0,,,,,-0.418153737354267,,,,0.8700800584799026,0.7329734727248847,,7.666666666666667,1.0,0.39496659795017336,0.8700800584799026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340115,1,khaosat,1,1.0
3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,4.0,0.6324555320336759,,,7.2,8.8,,,,8.25,,,,,-0.1512394637017876,1.6637183280979788,,,,1.1360365851714804,,,8.083333333333334,1.6000000000000005,0.8828384831892239,1.6637183280979788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340115,1,khaosat,1,1.0
