likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu,ma_nganh,ma_nhom,nguon,is_that,sample_weight
3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,-0.3999999999999999,0.6000000000000001,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,0.6000000000000001,0.6000000000000001,0.6000000000000001,3.4,0.4898979485566356,7.8,,6.4,7.25,,,,,,,0.739673485557979,,-0.908061238350992,-0.1290048393747885,,,,,,,7.1499999999999995,1.3999999999999997,-0.0991308640559338,0.739673485557979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7340201,2,ttth,0,1.0
3.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,-2.0,4.0,1.0,,,,7.0,,,,7.75,8.2,,,,,-0.418153737354267,,,,0.6041235317883247,0.971803891076294,,7.65,1.1999999999999993,0.3859245618367839,0.971803891076294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7510303,5,ttth,0,1.0
5.0,1.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,1.1,-2.9,1.1,1.1,-0.8999999999999999,1.1,0.1,1.1,-0.8999999999999999,-0.8999999999999999,3.9,1.3,5.2,,6.0,7.0,,,,,,,-1.5891073593505782,,-1.2864721256755949,-0.418153737354267,,,,,,,6.066666666666666,1.7999999999999998,-1.0979110741268132,-0.418153737354267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7520115,6,ttth,0,1.0
3.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,0.2999999999999998,-0.7000000000000002,1.2999999999999998,1.2999999999999998,0.2999999999999998,-1.7000000000000002,-0.7000000000000002,-0.7000000000000002,0.2999999999999998,0.2999999999999998,2.7,0.9,,,,6.25,,,,5.5,7.0,,,,,-1.2856004312927023,,,,-1.7894852084358763,-0.4611786190321659,,6.25,1.5,-1.1787547529202482,-0.4611786190321659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7510601,3,bootstrap_khaosat,0,1.0
1.0,3.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,-1.1,0.8999999999999999,-0.1,1.9,1.9,-1.1,-0.1,-1.1,-1.1,-0.1,2.1,1.1357816691600549,,,,7.75,,,,7.0,7.2,,,,,0.4492929565841684,,,,-0.1937460482864089,-0.2223482006807556,,7.316666666666666,0.75,0.0110662358723346,0.4492929565841684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340120,1,ttth,0,1.0
3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,-0.3999999999999999,-1.4,-0.3999999999999999,-0.3999999999999999,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,-0.3999999999999999,0.6000000000000001,3.4,0.66332495807108,,,,8.0,,,,7.5,7.6,,,,,0.7384418545636469,,,,0.3381670050967468,0.255312636022064,,7.7,0.5,0.4439738318941525,0.7384418545636469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340115,1,ttth,0,1.0
3.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,-0.7000000000000002,1.2999999999999998,-0.7000000000000002,1.2999999999999998,0.2999999999999998,1.2999999999999998,1.2999999999999998,-1.7000000000000002,-1.7000000000000002,-0.7000000000000002,3.7,1.1874342087037917,6.0,,7.6,7.75,,,,,,,-0.8725594070710223,,0.2271714236228142,0.4492929565841684,,,,,,,7.116666666666667,1.75,-0.0653650089546798,0.4492929565841684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7510301,5,ttth,0,1.0
4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,-1.6,-1.6,0.3999999999999999,0.3999999999999999,3.6,0.8,,,,7.75,,,,8.0,7.8,,,,,0.4492929565841684,,,,0.8700800584799026,0.4941430543734743,,7.85,0.25,0.6045053564791818,0.8700800584799026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340115,1,ttth,0,1.0
5.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,3.0,1.4,-0.6000000000000001,0.3999999999999999,0.3999999999999999,0.3999999999999999,-1.6,0.3999999999999999,-1.6,1.4,-0.6000000000000001,3.6,1.019803902718557,8.0,,7.8,8.0,,,,,,,0.9188104736278682,,0.4163768672851156,0.7384418545636469,,,,,,,7.933333333333334,0.2000000000000001,0.6912097318255436,0.9188104736278682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7340120,1,ttth,0,1.0
4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,0.1,0.1,0.1,-0.8999999999999999,0.1,1.1,-0.8999999999999999,0.1,-0.8999999999999999,1.1,3.9,0.7000000000000001,7.0,,7.6,7.8,,,,,,,0.0231255332784229,,0.2271714236228142,0.507122736180064,,,,,,,7.466666666666666,0.7999999999999998,0.2524732310271004,0.507122736180064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480201,0,ttth,0,1.0
2.0,3.0,2.0,3.0,5.0,2.0,4.0,3.0,2.0,1.0,-0.7000000000000002,0.2999999999999998,-0.7000000000000002,0.2999999999999998,2.3,-0.7000000000000002,1.2999999999999998,0.2999999999999998,-0.7000000000000002,-1.7000000000000002,2.7,1.1,,,,6.5,,,,4.75,6.6,,,,,-0.996451533313224,,,,-2.58735478851061,-0.9388394557349866,,5.95,1.8499999999999996,-1.5075485925196068,-0.9388394557349866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7510406,7,ttth,0,1.0
5.0,1.0,4.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,-2.0,1.0,2.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,3.0,1.3416407864998738,7.5,,8.0,8.0,,,,,,,0.4709680034531456,,0.6055823109474169,0.7384418545636469,,,,,,,7.833333333333333,0.5,0.6049973896547365,0.7384418545636469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7340101,1,ttth,0,1.0
1.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,-1.5,0.5,-0.5,1.5,0.5,-0.5,0.5,0.5,-1.5,0.5,2.5,0.9219544457292888,8.25,,8.4,7.8,,,,,,,1.1427317087152296,,0.9839931982720196,0.507122736180064,,,,,,,8.15,0.6000000000000005,0.8779492143891043,1.1427317087152296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340201,2,ttth,0,1.0
3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,-0.8999999999999999,0.1,-0.8999999999999999,1.1,1.1,0.1,0.1,-0.8999999999999999,1.1,-0.8999999999999999,3.9,0.8306623862918073,8.0,,7.4,7.75,,,,,,,0.9188104736278682,,0.0379659799605137,0.4492929565841684,,,,,,,7.716666666666666,0.5999999999999996,0.4686898033908501,0.9188104736278682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7380107,8,ttth,0,1.0
3.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,5.0,0.1,0.1,0.1,2.1,0.1,0.1,-1.9,-1.9,-0.8999999999999999,2.1,2.9,1.3,,,,7.5,,,,7.5,8.4,,,,,0.1601440586046899,,,,0.3381670050967468,1.2106343094277054,,7.8,0.9000000000000004,0.5696484577097141,1.2106343094277054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340301,2,ttth,0,1.0
5.0,3.0,5.0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,2.1,0.1,2.1,-0.8999999999999999,2.1,-1.9,-1.9,-0.8999999999999999,0.1,-0.8999999999999999,2.9,1.5132745950421556,,,8.2,6.4,,,8.5,,,,,,0.7947877546097174,-1.1121110925050148,,,0.9455789356800552,,,,7.7,2.0999999999999996,0.2094185325949192,0.9455789356800552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7220204,8,ttth,0,1.0
5.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,1.5,-0.5,0.5,0.5,1.5,-0.5,-1.5,-0.5,0.5,-1.5,3.5,1.02469507659596,6.4,,6.8,6.5,,,,,,,-0.5142854309312439,,-0.5296503510263902,-0.996451533313224,,,,,,,6.566666666666666,0.3999999999999994,-0.6801291050902861,-0.5142854309312439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340301,2,ttth,0,1.0
5.0,1.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.1,-1.9,1.1,0.1,1.1,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,0.1,0.1,2.9,1.1357816691600549,,,,7.25,,,,7.5,8.2,,,,,-0.1290048393747885,,,,0.3381670050967468,0.971803891076294,,7.65,0.9499999999999992,0.3936553522660841,0.971803891076294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340115,1,ttth,0,1.0
