likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin,diem_tb_z,diem_max_z,diem_min_z,gioi_tinh_ma,muc_tieu_ma,to_hop_A00,to_hop_A01,to_hop_B00,to_hop_B08,to_hop_C00,to_hop_C01,to_hop_C02,to_hop_C03,to_hop_D01,to_hop_D07,to_hop_D09,to_hop_D14,to_hop_D15,to_hop_X01,to_hop_X26,nhom_to_hop_TN,nhom_to_hop_XH,nhom_to_hop_HH
4,3,4,3,3,3,4,3,4,4,7.8,,,5.5,7.5,,,,,,-0.17121673785037306,0.5818897737998763,-1.6429551072534057,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,4,4,5,4,2,1,1,3,2,8.2,7.6,8.0,,,,,,,,0.7995297177077848,1.0400063660053283,0.5242916831077898,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,4,4,3,4,2,2,3,2,6.75,,6.75,,7.5,,,,,,-0.2171508148029205,0.5474151199024102,-0.6206662807394365,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,5,5,4,5,5,5,4,5,5,8.0,7.0,,6.0,,,,,,,-0.15538452002784053,0.8109480699026027,-1.1799452773819028,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,5,4,5,5,5,4,4,4,7.0,7.75,,6.25,,,,,,,-0.2010433603404623,0.6796536920357932,-0.9484403624461514,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,5,4,5,5,1,1,1,2,1,7.0,7.0,7.75,,,,,,,,0.040097621092863966,0.551792626493842,-0.3343434106110286,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,3,4,3,1,2,1,2,2,8.75,,6.5,7.75,,,,,,,0.4166020154560181,1.6699166802878262,-0.8606997610881294,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,3,5,5,5,5,5,5,4,5,8.0,8.0,8.0,,,,,,,,0.8612765158317678,0.9385903735824647,0.8109480699026027,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,4,2,4,2,4,4,3,4,7.6,,,7.8,7.0,,,,,,0.3153324517149612,0.4868901101555075,0.10627576729222658,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,1,4,4,3,3,5,4,1,5,8.9,,,7.0,9.25,,,,,,1.2263958795880092,2.091402854038053,-0.253925617638897,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
