likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Toan,diem_Ly,diem_Hoa,diem_Sinh,diem_Van,diem_Su,diem_Dia,diem_Anh,diem_Gdktpl,diem_Tin,diem_trung_binh,gioi_tinh_ma,muc_tieu_ma,to_hop_A00,to_hop_A01,to_hop_B00,to_hop_B08,to_hop_C00,to_hop_C01,to_hop_C02,to_hop_C03,to_hop_D01,to_hop_D07,to_hop_D09,to_hop_D14,to_hop_D15,to_hop_X01,to_hop_X26,target,sample_weight
1,4,3,5,3,1,1,1,3,2,7.25,,7.25,,,,,9.5,,,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,10.0
5,2,3,4,3,1,2,2,2,2,8.5,,,,7.75,,,8.75,,,8.333333333333334,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10.0
1,4,3,4,3,2,3,4,2,4,7.3,7.0,,,,,,6.3,,,6.866666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10.0
5,5,5,5,5,5,5,5,5,5,8.0,8.0,8.0,,,,,,,,8.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10.0
5,5,5,5,5,5,5,5,5,5,7.0,,,,8.0,,,7.0,,,7.333333333333333,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,10.0
4,2,3,3,2,2,2,4,2,2,6.0,5.5,7.25,,,,,,,,6.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10.0
4,1,3,2,3,1,1,5,3,2,9.0,8.75,6.5,,,,,,,,8.083333333333334,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10.0
3,2,2,4,5,3,5,2,3,2,9.0,,7.0,9.0,,,,,,,8.333333333333334,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,10.0
5,1,4,4,2,1,1,1,2,2,9.5,,,,9.5,,,6.5,,,8.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,10.0
5,5,5,5,5,5,5,5,5,5,6.0,,8.0,,,,,5.0,,,6.333333333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,10.0
2,4,4,4,5,5,3,4,5,4,7.8,,8.75,,,,,6.5,,,7.683333333333334,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,10.0
4,1,5,2,4,1,1,2,3,2,,,,,5.0,5.25,,7.5,,,5.916666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10.0
3,4,5,5,5,5,4,5,4,4,7.0,7.5,6.5,,,,,,,,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10.0
5,5,5,5,5,5,5,5,5,5,9.0,,9.0,,,,,9.0,,,9.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,10.0
2,3,2,4,3,3,3,5,3,2,9.5,5.5,7.25,,,,,,,,7.416666666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10.0
5,2,3,2,2,3,3,3,3,3,8.0,,,,7.0,,,7.0,,,7.333333333333333,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,10.0
4,4,5,5,3,5,4,5,5,4,5.5,7.0,6.25,,,,,,,,6.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10.0
4,1,4,4,2,2,2,1,3,3,6.75,5.75,6.25,,,,,,,,6.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10.0
2,4,2,3,2,4,3,2,5,3,8.0,8.0,8.0,,,,,,,,8.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10.0
4,1,5,1,4,3,5,5,4,5,,,,,7.5,7.0,,2.25,,,5.583333333333333,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10.0
