,precision,recall,f1-score,support
CNTT & Máy tính,0.0,0.0,0.0,13.0
Kinh doanh & Quản lý,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0
"Du lịch, Khách sạn & Ẩm thực",0.6666666666666666,0.5454545454545454,0.6,11.0
Kỹ thuật & Công nghệ,0.48484848484848486,0.6956521739130435,0.5714285714285714,23.0
"Thực phẩm, Sinh học & Môi trường",0.5,0.7058823529411765,0.5853658536585366,17.0
Luật,0.5,0.2,0.2857142857142857,5.0
Ngoại ngữ,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
accuracy,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.5490196078431373
macro avg,0.5031265031265031,0.45486087276368614,0.4558081227070773,102.0
weighted avg,0.5145573380867499,0.5490196078431373,0.5175423014734349,102.0
