fold,khoi_top1,khoi_top2,khoi_top3,khoi_macro_f1,khoi_balanced_acc,auto_top1,auto_top3,auto_top5,auto_macro_f1,auto_balanced_acc
0,0.5130434782608696,0.7478260869565218,0.8521739130434782,0.47799368961981614,0.46609686609686607,0.25217391304347825,0.391304347826087,0.5130434782608696,0.20922873422873423,0.23290598290598288
1,0.5652173913043478,0.7565217391304347,0.8869565217391304,0.45131332184330536,0.4590005232862376,0.1391304347826087,0.33043478260869563,0.4956521739130435,0.0822102399025476,0.08931623931623932
2,0.5478260869565217,0.7391304347826086,0.8608695652173913,0.4918665294605144,0.4834903192046049,0.22608695652173913,0.3565217391304348,0.5130434782608696,0.17663895933126703,0.1987179487179487
3,0.48695652173913045,0.6695652173913044,0.8347826086956521,0.42014150907891884,0.4249933885878586,0.11304347826086956,0.3565217391304348,0.4782608695652174,0.08715163978321873,0.09487179487179488
4,0.5087719298245614,0.6842105263157895,0.8157894736842105,0.48546218487394954,0.45736708197169695,0.20175438596491227,0.34210526315789475,0.45614035087719296,0.16255041255041255,0.1861111111111111
5,0.48695652173913045,0.6782608695652174,0.8521739130434782,0.43735914428467304,0.42256526542240824,0.16521739130434782,0.34782608695652173,0.4608695652173913,0.12666592666592666,0.14337606837606837
6,0.5565217391304348,0.7565217391304347,0.8434782608695652,0.4995948495948496,0.48445839874411295,0.1826086956521739,0.3652173913043478,0.4956521739130435,0.137838983540341,0.16303418803418804
7,0.5130434782608696,0.7217391304347827,0.8608695652173913,0.43472423939653015,0.42880167451596024,0.13043478260869565,0.3652173913043478,0.5217391304347826,0.09753138599292445,0.09487179487179488
8,0.5304347826086957,0.7304347826086957,0.8434782608695652,0.45248056685501226,0.45103897638459844,0.14782608695652175,0.3739130434782609,0.4608695652173913,0.09581259196643813,0.10961538461538463
9,0.5789473684210527,0.7456140350877193,0.9035087719298246,0.5403487895459349,0.5276967523013674,0.24561403508771928,0.4473684210526316,0.5526315789473685,0.18757353757353756,0.19893162393162392
10,0.5304347826086957,0.7478260869565218,0.8608695652173913,0.47003434712165165,0.45732891447177154,0.19130434782608696,0.45217391304347826,0.5739130434782609,0.1419043919043919,0.15854700854700854
11,0.5217391304347826,0.7391304347826086,0.8521739130434782,0.45802866601185926,0.4422291993720565,0.1826086956521739,0.3739130434782609,0.48695652173913045,0.13276353276353278,0.13119658119658117
12,0.5652173913043478,0.7478260869565218,0.8260869565217391,0.50999554460672,0.5030507587650445,0.19130434782608696,0.3652173913043478,0.4782608695652174,0.1321807821807822,0.14636752136752135
13,0.5391304347826087,0.7217391304347827,0.8782608695652174,0.42617516060582245,0.4438592641357618,0.1391304347826087,0.34782608695652173,0.5043478260869565,0.10678346994136466,0.11623931623931624
14,0.5,0.7631578947368421,0.868421052631579,0.44391595629781294,0.4379390119861989,0.20175438596491227,0.32456140350877194,0.43859649122807015,0.1823730400653478,0.2032051282051282
