idx,fold,y,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38
0,0,3,0.012847365052657891,0.020356543458338917,0.15528241606020496,0.03202792809157746,0.04397857797641742,0.018874469551703254,0.06835097671640415,0.018425606006211542,0.08768133578737594,0.021305371759436604,0.08207661456733804,0.005786815788875465,0.015364634639677436,0.003187862749140226,0.004659921296852435,0.00395812193889378,0.007120514937670404,0.009360715434447971,0.01133437118538626,0.016134199985835696,0.016151450818325513,0.016079728295071892,0.007383445819457417,0.009290541058347873,0.0016565928635811364,0.01999610879711589,0.053546184765624366,0.006956277020077676,0.003566706144448343,0.0017410439359443405,0.0026724096906769476,0.16421190064094301,0.005977225619493589,0.010340682651704814,0.02151086359624967,0.010316940939711321,0.0022959709165925554,0.0035109807228184946,0.00468058271936924
6,0,20,0.004370674674019472,0.0031583445546625546,0.04671468899524679,0.04912864216441781,0.07495164945452579,0.07276831561291092,0.012193639449657434,0.01169944558302049,0.06876014248552745,0.03984345641268223,0.03911836553265683,0.010207547740189673,0.007155521398619074,0.016186162560041406,0.00771011548630249,0.013980288184435617,0.0689369604294177,0.027580094785052602,0.013474078699131248,0.032103010065177524,0.036276908836916054,0.03772872632482307,0.030658225167224065,0.01930814760755883,0.015875727622750854,0.07802235294358936,0.0391818902347892,0.00875220822842667,0.020803874287233272,0.011117827253746153,0.016067216586924424,0.013761049702344551,0.0036326866645997754,0.006388438769901459,0.004455351115955634,0.005294390995195018,0.014333044208270631,0.005000085137365094,0.01330070404469063
10,0,15,0.0014864399619201202,0.0016254423745636912,0.008270850571625906,0.0025770614867362453,0.004376317655955562,0.00243635175168659,0.0032723032518213115,0.0024605949641289338,0.0029712771539006687,0.011452426344464335,0.004059006381164065,0.0006755735914836362,0.0006209740652420819,0.0011449138646780948,0.006171663365859109,0.008614093682257743,0.007819779141221056,0.14466696224982675,0.09200861251902748,0.12838988541213206,0.2233359867279113,0.19607576724410397,0.01627895696422308,0.023884051690804615,0.0010553324883934713,0.004391392943434506,0.002662744781094248,0.0678762773908757,0.0011410970723228552,0.0007915029760364002,0.0010823763925163613,0.018152536674151617,0.0009510763667532733,0.0011940261576859092,0.001182201624769316,0.0011664066325923613,0.001276405070824702,0.0014340385401681963,0.0009672924716425628
15,0,16,0.025101787934705556,0.010659550819308868,0.018198219226252525,0.02641326325677995,0.04566695924513144,0.013428651410898383,0.004745286316502704,0.004046416183177619,0.029225328583607296,0.007739503141316246,0.027080320112987704,0.008548821482099367,0.0059717873430877415,0.0030965639745256274,0.017237827196487927,0.32114447877814334,0.15767534278081552,0.06943828150494058,0.016117657164344178,0.021952999770187494,0.028438225646748704,0.041732708499039844,0.009957289594758442,0.008103711332719404,0.0023054531699588645,0.017246774069667244,0.022059143557576443,0.007242089771596537,0.004964484303463957,0.0015253309333096204,0.0019424844913467495,0.007735994460511776,0.001462272081822203,0.0026043453988082326,0.0017783201544461116,0.0026151556873968995,0.0013494670405971938,0.0011469566422668916,0.002300746938664692
17,0,18,0.0017694061617863069,0.001183565522347963,0.012668576288273736,0.009432330351074943,0.024661743058508864,0.008857310254634473,0.006435221536740352,0.012330303091497765,0.006840026851517174,0.006324254601192987,0.009858109820016425,0.0023314171395589617,0.004117583508202794,0.0069918973780905514,0.010450653682700147,0.04845478721017852,0.037263485274283886,0.05232562391812,0.029872015144910717,0.023979943101519286,0.13606626821883713,0.35600813000732806,0.04860596753850263,0.028392902240215314,0.0020969101334445055,0.007009119496135887,0.00675014250438781,0.019110546811736344,0.028767215740132412,0.0021173204830759055,0.004087843705972581,0.013524004004192283,0.002241621208675184,0.007838500719398366,0.0025551915167618755,0.0026231041944686662,0.009034287674360545,0.0038411322504711062,0.0031815376567474484
22,0,16,0.009353513520771402,0.017811973282851907,0.011807557418486912,0.007922332659599077,0.01449327279602594,0.009160565618211498,0.010048898278350381,0.04608200873815602,0.03073335586412175,0.0159581731593259,0.03388659953022266,0.026504386223309643,0.1318766021391333,0.004181708745922408,0.03587729002702418,0.0293455129404088,0.016782042731165972,0.02764175114386382,0.06192539094636381,0.03419880164938916,0.050201431345822216,0.18930566251828543,0.017658341178372325,0.03189580390067171,0.0027590331168175805,0.007392238081686144,0.009281465565609293,0.020044833145278874,0.0049149658885217955,0.002237452569598386,0.004431827729475229,0.051627755490986235,0.003993216956324841,0.007528229858689181,0.004692682492164458,0.004701587771988046,0.0016067743980233257,0.002313543307048319,0.007821417271932283
27,0,20,0.0008886051514684724,0.0009319314056470207,0.03526585577997813,0.04129309221928144,0.11837593791601651,0.011977039911386857,0.018012183715990126,0.0008618566186582901,0.010724818357859892,0.37383553309885925,0.021339874425847206,0.0005176033539970233,0.0003497851566402259,0.000912103231518948,0.0026840047955379123,0.007641500095148356,0.004330218347037009,0.02725816000725277,0.0325109093266066,0.041231689648926005,0.027528541672807903,0.03229738462629946,0.005373850727364887,0.01050104417378237,0.005034547038630408,0.10025412842836907,0.014086490589734076,0.031836683144651615,0.0009112123452077537,0.0017496321313908826,0.0008024145436610698,0.004154895443683285,0.0016354405472778942,0.001499060940497984,0.0009910701719240615,0.0011673289736846126,0.005981618164277752,0.0014986660785679107,0.0017532876945290919
28,0,1,0.0045068505104566385,0.008776131154412609,0.009556779459652606,0.017914059668884225,0.005180239068365886,0.0059127713093949956,0.003880889368203005,0.000883808521761271,0.0071695676049580315,0.005336616540704603,0.005507007165453353,0.015073783907100935,0.4725665550030696,0.0008211536927689646,0.013763876864606334,0.0013854155144387783,0.0033407409955618097,0.0018909891981179086,0.0014094915770211686,0.0023023376173638495,0.0010354973775838403,0.0015656884288107774,0.0009822065441558285,0.0012301890881902897,0.0007027595558180168,0.002379887206166323,0.004271630435182878,0.0006597144721125009,0.004547773552530523,0.0004851313790865033,0.0005847082685818893,0.001145902514477065,0.054028413300636347,0.19101180778763682,0.044018416238816485,0.09639810090898573,0.003299821278049476,0.0037721961905583254,0.0007010907303239991
39,0,10,0.00598391914589498,0.011272994276553228,0.09474247650718352,0.18373502280955134,0.10473652570407364,0.047403627156357125,0.021288902388639824,0.004652527665522151,0.10826384871470612,0.0232875034886445,0.10208100807619641,0.008193966539264743,0.01744894777902466,0.002566941086700598,0.006979039971795085,0.03454696317216817,0.021627361437065225,0.006590344016755789,0.002291136989137702,0.004998503803826224,0.0026243351599160403,0.003835644870689362,0.003191362550425496,0.006459061291041796,0.0013949079544366954,0.04543773345816164,0.06697465186889985,0.001638975510372546,0.004065305007075774,0.0014607927828686473,0.0021256340495074176,0.005829513206525287,0.005275329041435858,0.01145620445050844,0.006925084832589762,0.009359569340450331,0.002157041673713413,0.0045159198453055,0.002581372377015092
40,0,38,0.0005741900348759132,0.0005664419363808878,0.005739886016668485,0.003814588858940256,0.003091394589726942,0.0026992748192508687,0.0035895874537910494,0.047965717070404465,0.00509013251460976,0.01217467121210251,0.007775879191234295,0.004468687075834673,0.003329523922870713,0.024316572951257148,0.00600652450711711,0.003058555881456662,0.018841952068349318,0.01005047411388854,0.023596404338906394,0.07239529598715325,0.02580329848142937,0.07535367553652507,0.019624170360568616,0.11470471258927169,0.10843532224178752,0.002253214741309469,0.005970484552815096,0.016343948400293875,0.019042449005290944,0.025041762250048543,0.08025599115467368,0.01177807311461908,0.0033729126959194523,0.004811388989283122,0.004131671577243518,0.0035729896684222394,0.004128052356270299,0.004750242007166461,0.2114798857322427
