macro_f1,top3,gap,ty_le_that,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step
0.14278809342157758,0.3396796338672769,0.7935652074203696,2.0,10,0.2,600,0.7,0.4,3,2.0,100.0,1.0,0
0.13933452001325303,0.34839054157131966,0.8183438277421317,1.5,6,0.01,600,0.9,0.6,15,2.0,1.0,0.1,5
0.13923128528391687,0.3466666666666667,0.6550267968870742,0.6,4,0.08,600,1.0,0.4,3,10.0,10.0,1.0,5
0.13869703616309953,0.33276887871853544,0.8013599357871805,2.0,8,0.03,600,1.0,0.4,50,0.5,3.0,5.0,0
0.13728319438845754,0.34840579710144925,0.6742340577217412,0.8,4,0.2,600,0.9,0.6,3,5.0,3.0,5.0,0
0.1371756390082182,0.34143401983218913,0.6950966931394984,1.0,8,0.08,600,0.5,0.3,10,0.1,100.0,0.1,1
0.1370769160234043,0.3361708619374523,0.5662328312967699,2.0,2,0.03,600,0.9,0.4,15,2.0,30.0,2.0,0
0.1359948682120628,0.3518535469107551,0.6441313570940708,0.4,8,0.2,600,0.8,0.6,15,2.0,1.0,0.1,5
0.13566456168266122,0.36579710144927535,0.7321109964453617,1.0,6,0.12,600,0.7,0.6,20,5.0,30.0,0.5,5
0.1355486000508625,0.3362471395881007,0.7200146074193725,0.6,4,0.12,600,0.8,1.0,6,0.5,0.1,0.5,5
0.13546587690312384,0.3344622425629291,0.8266152166434843,0.6,10,0.03,600,1.0,0.8,3,0.1,10.0,0.1,1
0.13415335628005312,0.36236460717009916,0.394553925307728,0.6,2,0.12,600,0.6,0.3,20,10.0,0.1,5.0,1
0.13413281539978372,0.3483752860411899,0.37319084867610913,0.25,10,0.05,600,0.8,0.4,15,10.0,10.0,1.0,1
0.13387092060823902,0.3501906941266209,0.6602001166599363,0.6,4,0.08,600,0.6,0.3,6,10.0,1.0,0.5,1
0.1316326776960261,0.34144927536231884,0.8188206876953681,2.0,5,0.05,600,0.9,0.3,15,0.0,100.0,0.1,0
0.13120264284946354,0.3448665141113654,0.8032029135071268,1.5,6,0.01,600,0.7,0.8,10,5.0,30.0,2.0,3
0.13099787927842227,0.3589016018306636,0.6506751818449221,0.8,3,0.03,600,0.9,0.6,3,0.0,10.0,5.0,3
0.13099080657904189,0.365812356979405,0.7739422084623323,1.0,5,0.01,600,0.9,0.3,30,0.0,0.1,0.5,1
0.1300988604156025,0.36411899313501145,0.6729231789334091,1.0,3,0.05,600,0.7,0.8,3,5.0,10.0,1.0,3
0.12983960858454785,0.3623340961098398,0.6915680291948968,1.0,8,0.05,600,0.5,0.4,20,5.0,10.0,1.0,5
0.12973093857709245,0.3432036613272311,0.7399837972310715,0.8,8,0.01,600,0.9,0.3,20,0.5,30.0,0.0,1
0.12932021640166436,0.37278413424866513,0.5669767627366228,0.4,6,0.05,600,1.0,0.4,20,10.0,0.1,0.5,5
0.1289463151227857,0.3500839054157132,0.593647617195874,2.0,2,0.01,600,0.7,0.6,3,5.0,1.0,2.0,1
0.12858306556329896,0.3640579710144927,0.5801200999087659,0.8,4,0.01,600,0.7,0.6,30,2.0,10.0,1.0,3
0.1281684839377147,0.35881006864988557,0.6734122532816839,1.0,5,0.2,600,0.9,0.8,30,5.0,30.0,0.5,3
0.12797487844641928,0.33969488939740655,0.40551671876480067,0.6,8,0.03,600,0.6,0.3,50,0.1,3.0,1.0,1
0.12743200657227807,0.3396338672768878,0.655531226474826,0.6,10,0.2,600,0.8,0.6,20,0.1,0.1,0.0,3
