ma,ten,nhom,khong_ttth,n_hoc,n_test,top5_kham_pha
7510402,Công nghệ vật liệu,6,0,30,6,0.16666666666666666
7510406,Công nghệ kỹ thuật môi trường,7,0,35,6,0.16666666666666666
7540105,Công nghệ chế biến thủy sản,7,0,64,12,0.25
7819009,Khoa học dinh dưỡng và ẩm thực,4,0,84,15,0.6666666666666666
7460108,Khoa học dữ liệu,0,0,98,17,0.23529411764705882
7510601,Quản lý Công nghiệp,3,1,108,19,1.0
7510605,Logistics và quản lý chuỗi cung ứng,3,1,110,20,0.95
7810101,Du lịch,4,1,110,20,1.0
7380101,Luật,8,1,111,19,0.7894736842105263
7340123,Kinh doanh thời trang và dệt may,3,0,114,21,0.47619047619047616
7340205,Công nghệ tài chính,2,0,115,21,0.3333333333333333
7480107,Trí tuệ nhân tạo,0,1,115,20,0.65
7819010,Khoa học chế biến món ăn,4,0,135,24,0.5
7520115,Kỹ thuật nhiệt,6,0,142,25,0.64
7850101,Quản lý tài nguyên và môi trường,7,0,149,27,0.5555555555555556
7340122,Thương mại điện tử,1,0,180,32,0.1875
7540204,"Công nghệ dệt, may",6,0,242,42,0.6904761904761905
7340129,Quản trị kinh doanh thực phẩm,7,0,300,53,0.6792452830188679
7540106,Đảm bảo chất lượng và an toàn thực phẩm,7,0,302,53,0.9245283018867925
7810103,Quản trị dịch vụ du lịch và lữ hành,4,0,310,54,0.6111111111111112
7220204,Ngôn ngữ Trung Quốc,8,0,318,56,0.6785714285714286
7420201,Công nghệ sinh học,7,0,337,60,0.7833333333333333
7510401,Công nghệ kỹ thuật hóa học,6,0,357,63,0.8095238095238095
7810202,Quản trị nhà hàng và dịch vụ ăn uống,4,0,369,65,0.7538461538461538
7510202,Công nghệ chế tạo máy,5,0,375,66,0.7575757575757576
7510203,Công nghệ kỹ thuật cơ điện tử,5,0,402,71,0.704225352112676
7810201,Quản trị khách sạn,4,0,417,73,0.684931506849315
7510301,Công nghệ kỹ thuật điện - điện tử,5,0,442,78,0.7948717948717948
7480202,An toàn thông tin,0,0,531,93,0.8602150537634409
7220201,Ngôn ngữ Anh,8,0,534,94,0.925531914893617
7510303,Công nghệ kỹ thuật điều khiển và TĐH,5,0,540,95,0.9157894736842105
7380107,Luật kinh tế,8,0,700,124,0.7983870967741935
7340301,Kế toán,2,0,716,126,0.8571428571428571
7340115,Marketing,1,0,724,128,0.984375
7340120,Kinh doanh quốc tế,1,0,738,130,0.8846153846153846
7340201,Tài chính ngân hàng,2,0,780,137,0.927007299270073
7540101,Công nghệ thực phẩm,7,0,834,147,0.9387755102040817
7340101,Quản trị kinh doanh,1,0,861,152,0.8486842105263158
7480201,Công nghệ thông tin,0,0,1597,282,0.9609929078014184
