nganh,f1,base,so_lan_duoc_chon_top1,so_mau_trong_test
Công nghệ kỹ thuật môi trường,0.0,-0.50825614,4,1
Quản lý Công nghiệp,0.0,-0.50511265,3,1
Công nghệ chế biến thủy sản,0.0,-0.4494168,4,1
Khoa học chế biến món ăn,0.0,-0.41767463,2,1
Kinh doanh thời trang và dệt may,0.0,-0.41492596,0,1
Logistics và quản lý chuỗi cung ứng,0.0,-0.40963402,0,2
Luật,0.6666666666666666,-0.4051718,1,2
Khoa học dữ liệu,0.0,-0.40423623,1,2
Khoa học dinh dưỡng và ẩm thực,0.0,-0.36874813,0,2
Du lịch,0.0,-0.3583704,2,1
Quản lý tài nguyên và môi trường,0.0,-0.35746416,2,1
Công nghệ tài chính,0.0,-0.23580743,1,3
Trí tuệ nhân tạo,0.2857142857142857,-0.2281626,5,2
Quản trị kinh doanh thực phẩm,0.0,-0.22255896,1,2
Kỹ thuật nhiệt,0.0,-0.21781746,0,2
Đảm bảo chất lượng và an toàn thực phẩm,0.0,-0.21519783,1,1
Công nghệ vật liệu,0.0,-0.20921654,0,3
Thương mại điện tử,0.0,-0.17512402,2,3
"Công nghệ dệt, may",0.6666666666666666,-0.14826655,3,3
Công nghệ chế tạo máy,0.0,-0.10759639,1,2
Ngôn ngữ Trung Quốc,0.0,-0.052683994,1,3
Quản trị khách sạn,0.6666666666666666,-0.03658463,1,2
Quản trị nhà hàng và dịch vụ ăn uống,0.6666666666666666,-0.014600506,1,2
Quản trị dịch vụ du lịch và lữ hành,0.0,0.009482755,3,3
An toàn thông tin,0.0,0.019085525,1,2
Công nghệ kỹ thuật cơ điện tử,0.4444444444444444,0.04315949,6,3
Kinh doanh quốc tế,0.0,0.051928855,2,2
Công nghệ kỹ thuật hóa học,0.2,0.058655776,7,3
Công nghệ kỹ thuật điều khiển và TĐH,0.2857142857142857,0.09643135,4,3
Luật kinh tế,0.0,0.096918754,3,3
Công nghệ sinh học,0.2,0.10877425,6,4
Ngôn ngữ Anh,0.5,0.110211365,5,3
Công nghệ kỹ thuật điện - điện tử,0.18181818181818182,0.12557,7,4
Quản trị kinh doanh,0.0,0.13126495,5,3
Tài chính ngân hàng,0.0,0.14624716,4,4
Marketing,0.0,0.15086848,3,4
Kế toán,0.3333333333333333,0.16336651,2,4
Công nghệ thông tin,0.4,0.3125129,3,7
Công nghệ thực phẩm,0.16666666666666666,0.32773444,5,7
