dac_trung,shap_tang1,shap_tang2,shap_hop_nhat,gain_xgboost,hang_shap,hang_gain,lech_hang
Điểm Hoa,0.22777532,0.14632328,0.2829885,14.056561470031738,1,21,20
Quan tâm dinh dưỡng,0.18527137,0.15023445,0.26139727,16.150123596191406,2,14,12
Mặt bằng điểm,0.1866909,0.14423446,0.256249,11.524272918701172,3,29,26
Năng động,0.18624406,0.12964894,0.24139538,15.190669059753418,4,15,11
Sáng tạo,0.15329914,0.10177252,0.193752,14.990028381347656,5,16,11
Giới tính,0.1285425,0.10804021,0.18516572,18.7237606048584,6,8,2
Điểm Ly,0.10908099,0.10881999,0.17426859,10.897172927856445,7,32,25
Thích thiết kế,0.0988233,0.11371431,0.1730083,16.4643497467041,8,12,4
Thích thí nghiệm,0.113888174,0.10211153,0.17044444,14.120929718017578,9,20,11
Tư duy logic,0.11880662,0.09238788,0.16367185,13.738428115844727,10,23,13
Quan tâm môi trường,0.10412601,0.09111512,0.15359072,13.751842498779297,11,22,11
Môn mạnh nhất,0.07322743,0.108729616,0.15266608,10.066263198852539,12,34,22
Môn yếu nhất,0.07225678,0.108853936,0.152208,10.866475105285645,13,33,20
Hướng nội,0.097869575,0.08520351,0.14392526,14.636018753051758,14,18,4
Điểm Toan,0.07801309,0.09092614,0.137734,11.925105094909668,15,28,13
Điểm Anh,0.07202652,0.09108561,0.13430153,11.066055297851562,16,31,15
Điểm Van,0.09920613,0.07047428,0.12999797,8.43365478515625,17,37,20
Tò mò,0.08814035,0.06715113,0.12003534,12.656232833862305,18,24,6
Thích tranh luận,0.07717421,0.05670389,0.10300842,12.2981538772583,19,26,7
Điểm Sinh,0.08769555,0.037297245,0.089914575,29.64830780029297,20,3,-17
Mục tiêu sau tốt nghiệp,0.033434007,0.04934786,0.06940827,12.26338005065918,21,27,6
nhom_Tổ hợp TN,0.034627397,0.039114814,0.059891254,19.040529251098633,22,7,-15
Điểm Dia,0.033795033,0.012765219,0.033042237,22.240209579467773,23,5,-18
Tổ hợp D01,0.010257315,0.026834037,0.032988425,5.393695831298828,24,41,17
nhom_Tổ hợp HH,0.0141665405,0.016181448,0.024681374,11.22154712677002,25,30,5
Điểm Su,0.018292477,0.008785444,0.01976093,17.503753662109375,26,10,-16
Tổ hợp A00,0.006920584,0.013270427,0.017422777,8.162579536437988,27,38,11
nhom_Tổ hợp XH,0.012203442,0.006569861,0.013891926,34.28685760498047,28,1,-27
Tổ hợp D07,0.0079337405,0.008765602,0.0135258455,12.553370475769043,29,25,-4
Tổ hợp A01,0.006988094,0.008875243,0.0130681,8.927691459655762,30,36,6
Tổ hợp B00,6.361775e-05,0.0078152465,0.007853417,25.340221405029297,31,4,-27
Tổ hợp D09,0.0059786383,0.00038347972,0.0039706626,18.095623016357422,32,9,-23
Tổ hợp C01,0.0020142961,0.002022486,0.0032310637,16.769670486450195,33,11,-22
Tổ hợp C02,0.001983617,0.0007513542,0.0019415244,14.922233581542969,34,17,-17
Điểm Tin,0.0021513053,0.0006480481,0.0019388314,16.161588668823242,35,13,-22
Tổ hợp B08,0.002106931,0.00024374467,0.0015079033,14.540349006652832,36,19,-17
Tổ hợp C00,0.0002855353,0.0007052123,0.00087653345,21.220062255859375,37,6,-31
Tổ hợp D15,0.0007966088,0.00027163024,0.0007495956,5.539732456207275,38,40,2
Tổ hợp D14,0.00053982704,1.5379523e-05,0.00033927575,7.341107368469238,39,39,0
Tổ hợp X26,0.0,0.0003360406,0.0003360406,30.3399658203125,40,2,-38
Tổ hợp C03,0.000334929,0.0,0.00020095741,0.0,41,42,1
Điểm Gdktpl,0.00017835633,2.3253253e-05,0.00013026706,9.16254997253418,42,35,-7
Tổ hợp X01,0.0,0.0,0.0,0.0,43,42,-1
