ma_nganh,to_hop_thi,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin
7540101,B00,8.25,,8.25,,,,8.0,,,
7380107,A00,8.0,7.5,6.5,,,,,,,
7510202,D01,7.0,,,4.8,8.0,,,,,
7810202,D01,5.75,,,7.2,7.8,,,,,
7340201,A01,8.0,8.0,,7.6,,,,,,
7340101,A00,6.5,8.0,7.0,,,,,,,
7340115,A00,8.0,8.25,7.0,,,,,,,
7340301,A00,6.75,8.25,6.4,,,,,,,
7510303,D01,6.8,,,6.0,8.5,,,,,
7340301,D01,7.5,,,7.2,8.6,,,,,
7540204,D01,8.0,,,5.8,5.4,,,,,
7420201,B00,7.25,,6.75,,,,7.6,,,
7340201,A01,7.0,7.25,,8.8,,,,,,
7480201,A00,8.0,8.0,7.4,,,,,,,
7340201,A00,6.25,8.0,7.2,,,,,,,
7460108,D01,6.5,,,7.2,5.4,,,,,
7510303,A00,7.0,7.75,7.6,,,,,,,
7480202,D01,6.6,,,6.6,6.5,,,,,
7220204,D01,8.5,,,8.0,5.4,,,,,
7220204,D09,7.4,,,9.2,,7.0,,,,
7340122,A00,6.5,8.5,6.6,,,,,,,
7380107,D01,8.25,,,8.6,5.0,,,,,
7340101,D01,8.6,,,8.4,7.0,,,,,
7340201,D01,7.0,,,7.8,6.0,,,,,
7220201,D01,7.5,,,6.2,7.2,,,,,
7340120,D01,8.75,,,7.4,7.8,,,,,
7340101,A00,6.75,9.0,7.8,,,,,,,
7510303,A01,6.5,7.0,,7.8,,,,,,
7480201,A00,6.5,7.25,7.0,,,,,,,
7480201,D01,7.5,,,8.0,8.6,,,,,
7480201,A01,6.5,7.2,,7.2,,,,,,
7480201,A01,8.0,7.25,,8.2,,,,,,
7810201,D01,7.0,,,7.2,9.2,,,,,
7340101,A00,7.0,7.75,7.2,,,,,,,
7480201,D01,8.6,,,8.8,8.0,,,,,
7810202,D01,6.75,,,7.0,4.4,,,,,
7540101,A00,7.5,8.0,7.8,,,,,,,
7340120,D01,7.6,,,8.2,7.5,,,,,
7810201,A00,6.75,7.0,6.4,,,,,,,
7480201,A00,8.25,7.25,8.2,,,,,,,
7810103,D01,6.0,,,7.0,5.6,,,,,
7480201,A00,7.8,7.75,7.75,,,,,,,
7220201,A01,8.6,7.75,,8.6,,,,,,
7340115,D01,9.0,,,6.2,8.8,,,,,
7220201,A01,7.4,7.25,,9.2,,,,,,
7380107,D01,7.4,,,7.2,7.75,,,,,
7380107,A00,8.6,7.25,8.0,,,,,,,
7510401,A00,7.0,6.75,7.5,,,,,,,
7340101,D01,8.2,,,8.0,7.25,,,,,
7480201,A00,7.25,8.25,8.0,,,,,,,
7480201,D01,7.4,,,8.2,7.0,,,,,
7340101,D01,8.5,,,7.8,8.6,,,,,
7340120,A01,8.5,7.6,,7.6,,,,,,
7480202,D07,6.75,,8.4,7.8,,,,,,
7340301,A00,7.75,7.5,8.0,,,,,,,
7380107,A01,6.75,7.4,,8.0,,,,,,
7340129,D01,7.4,,,6.6,6.75,,,,,
7340115,A00,7.75,7.5,7.8,,,,,,,
7340201,A01,7.5,7.2,,7.2,,,,,,
7510303,A00,7.4,7.5,6.75,,,,,,,
7540204,D01,5.0,,,5.6,6.5,,,,,
7850101,D07,7.4,,4.25,6.2,,,,,,
7340115,A00,8.25,8.0,7.6,,,,,,,
7810103,D01,7.4,,,8.0,8.25,,,,,
7340115,A00,7.0,7.5,7.6,,,,,,,
7340115,D01,6.75,,,7.6,8.6,,,,,
7810103,A00,8.4,7.5,7.75,,,,,,,
7510406,A00,7.0,6.25,6.25,,,,,,,
7340101,A01,7.5,9.0,,7.4,,,,,,
7340122,D01,8.0,,,7.2,7.8,,,,,
7420201,A01,8.0,8.0,,8.0,,,,,,
7510203,D01,6.4,,,7.0,6.25,,,,,
7510401,A00,6.6,6.25,7.75,,,,,,,
7340115,A00,7.75,8.0,7.6,,,,,,,
7340115,A00,8.8,7.5,8.0,,,,,,,
7480202,D01,7.8,,,9.4,6.0,,,,,
7340301,A01,7.25,7.2,,8.0,,,,,,
7340101,A00,7.75,7.0,7.8,,,,,,,
7480201,A00,7.8,6.75,8.0,,,,,,,
7340301,A00,8.25,7.25,7.6,,,,,,,
7220204,D01,8.2,,,8.0,8.25,,,,,
7540106,D07,7.6,,7.5,7.6,,,,,,
7510303,A00,6.5,7.25,6.6,,,,,,,
7340115,D01,8.75,,,8.4,7.6,,,,,
7850101,A00,7.6,6.0,8.5,,,,,,,
7380107,D01,7.75,,,8.2,6.8,,,,,
7420201,A00,6.75,7.25,6.4,,,,,,,
7540101,D07,7.0,,8.2,6.8,,,,,,
7810201,A01,7.5,7.8,,7.0,,,,,,
7480201,D07,8.25,,8.6,8.2,,,,,,
7340101,A00,6.25,7.5,6.8,,,,,,,
7510203,D01,7.0,,,7.4,5.75,,,,,
7340129,A00,7.0,7.75,7.2,,,,,,,
7510303,A01,7.5,7.0,,7.4,,,,,,
7510301,D01,6.25,,,7.2,5.8,,,,,
7510401,A00,6.4,7.5,7.25,,,,,,,
7340101,A00,7.4,8.0,8.5,,,,,,,
7510202,A01,6.5,4.8,,7.8,,,,,,
7480202,D07,7.25,,8.2,7.0,,,,,,
7220201,D01,7.8,,,8.0,7.5,,,,,
