likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu,ma_nganh,ma_nhom,nguon,rui_ro_vong_tron,sample_weight
3.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,-0.7000000000000002,-2.7,0.2999999999999998,-0.7000000000000002,-0.7000000000000002,0.2999999999999998,1.2999999999999998,0.2999999999999998,1.2999999999999998,1.2999999999999998,3.7,1.1874342087037917,,,,8.25,,,,,8.25,8.0,,,,1.0417781217547293,,,,,1.047205428079291,1.021458749332555,8.166666666666666,0.25,1.0368140997221917,1.047205428079291,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7540101,7,ttth,0,1.0
3.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,0.5,0.5,-0.5,0.5,1.5,-0.5,-1.5,-0.5,0.5,-0.5,2.5,0.806225774829855,,,,8.0,,,,7.5,6.5,,,,,0.7470654280693014,,,,0.347065690772096,-1.0951331499304613,,7.333333333333333,1.5,-0.00033401036302131243,0.7470654280693014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7380107,8,ttth,0,1.0
3.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,5.0,2.0,-0.3999999999999999,-0.3999999999999999,0.6000000000000001,1.6,-0.3999999999999999,-1.4,-0.3999999999999999,0.6000000000000001,1.6,-1.4,3.4,1.019803902718557,8.0,,4.8,7.0,,,,,,,0.936090275727828,,-2.482849491019275,-0.4317853466724099,,,,,,,6.6000000000000005,3.2,-0.6595148539879523,0.936090275727828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7510202,5,ttth,0,1.0
5.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,1.1,-1.9,0.10000000000000009,-0.8999999999999999,0.10000000000000009,-0.8999999999999999,0.10000000000000009,0.10000000000000009,1.1,1.1,3.9,0.9433981132056604,7.8,,7.2,5.75,,,,,,,0.7564268421860999,,-0.16731702928406858,-1.9053488150995492,,,,,,,6.916666666666667,2.05,-0.4387463340658393,0.7564268421860999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7810202,4,ttth,0,1.0
5.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,1.4,-1.6,0.3999999999999999,0.3999999999999999,-0.6000000000000001,-1.6,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,3.6,0.9165151389911681,,,7.6,8.0,,,,8.0,,,,,0.2186050476717986,0.7470654280693014,,,,0.8885910395266937,,,7.866666666666667,0.40000000000000036,0.6180871717559313,0.8885910395266937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7340201,2,ttth,0,1.0
4.0,3.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0,0.7000000000000002,-0.2999999999999998,1.7000000000000002,-2.3,-0.2999999999999998,-1.2999999999999998,-0.2999999999999998,0.7000000000000002,-0.2999999999999998,1.7000000000000002,3.3,1.1874342087037917,,,,6.5,,,,8.0,7.0,,,,,-1.0212107340432657,,,,0.8885910395266937,-0.4830364133562463,,7.166666666666667,1.5,-0.20521870262427275,0.8885910395266937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340101,1,ttth,0,1.0
4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,-0.09999999999999964,-1.0999999999999996,-0.09999999999999964,-1.0999999999999996,0.9000000000000004,-0.09999999999999964,0.9000000000000004,0.9000000000000004,-0.09999999999999964,-0.09999999999999964,4.1,0.7,,,,8.0,,,,8.25,7.0,,,,,0.7470654280693014,,,,1.1593537139039927,-0.4830364133562463,,7.75,1.25,0.47446090953901593,1.1593537139039927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340115,1,ttth,0,1.0
4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,0.8999999999999999,-1.1,0.8999999999999999,-0.10000000000000009,-0.10000000000000009,-1.1,-1.1,-0.10000000000000009,1.9,-0.10000000000000009,3.1,0.9433981132056604,,,,6.75,,,,8.25,6.4,,,,,-0.7264980403578377,,,,1.1593537139039927,-1.2175524972453038,,7.133333333333333,1.8499999999999996,-0.2615656078997163,1.1593537139039927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340301,2,ttth,0,1.0
1.0,4.0,3.0,1.0,3.0,5.0,5.0,2.0,4.0,2.0,-2.0,1.0,0.0,-2.0,0.0,2.0,2.0,-1.0,1.0,-1.0,3.0,1.4142135623730951,8.5,,6.0,6.8,,,,,,,1.385248859582148,,-1.3250832601516718,-0.6675555016207524,,,,,,,7.1000000000000005,2.5,-0.20246330073009208,1.385248859582148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7510303,5,ttth,0,1.0
3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,-1.2000000000000002,-0.20000000000000018,0.7999999999999998,0.7999999999999998,0.7999999999999998,-1.2000000000000002,-0.20000000000000018,0.7999999999999998,-1.2000000000000002,0.7999999999999998,4.2,0.8717797887081347,8.6,,7.2,7.5,,,,,,,1.4750805763530115,,-0.16731702928406858,0.15764004069844578,,,,,,,7.766666666666667,1.3999999999999995,0.4884678625891295,1.4750805763530115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340301,2,ttth,0,1.0
2.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,-0.7000000000000002,1.2999999999999998,0.2999999999999998,1.2999999999999998,-0.7000000000000002,-0.7000000000000002,-0.7000000000000002,2.3,-1.7000000000000002,-0.7000000000000002,2.7,1.1874342087037917,5.4,,5.8,8.0,,,,,,,-1.3995343603146349,,-1.5180442986296059,0.7470654280693014,,,,,,,6.3999999999999995,2.5999999999999996,-0.7235044102916465,0.7470654280693014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7540204,6,ttth,0,1.0
4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,0.8999999999999999,-1.1,-0.10000000000000009,-0.10000000000000009,0.8999999999999999,0.8999999999999999,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-1.1,3.1,0.7000000000000001,,,,7.25,,,,,6.75,7.6,,,,-0.13707265298698207,,,,,-0.7890847816433537,0.5892328160297755,7.2,0.8499999999999996,-0.11230820620018678,0.5892328160297755,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7420201,7,ttth,0,1.0
4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,3.0,0.6324555320336759,,,8.8,7.0,,,,7.25,,,,,1.3763712785394027,-0.4317853466724099,,,,0.07630301639479713,,,7.683333333333334,1.8000000000000007,0.34029631608726324,1.3763712785394027,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7340201,2,ttth,0,1.0
3.0,2.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,-0.7999999999999998,-1.7999999999999998,1.2000000000000002,1.2000000000000002,-0.7999999999999998,-0.7999999999999998,0.20000000000000018,0.20000000000000018,0.20000000000000018,1.2000000000000002,3.8,0.9797958971132713,,,,8.0,,,,8.0,7.4,,,,,0.7470654280693014,,,,0.8885910395266937,0.006640975903126065,,7.8,0.5999999999999996,0.5474324811663738,0.8885910395266937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480201,0,ttth,0,1.0
4.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,5.0,3.0,0.7999999999999998,-2.2,0.7999999999999998,1.7999999999999998,-1.2000000000000002,-1.2000000000000002,-1.2000000000000002,0.7999999999999998,1.7999999999999998,-0.20000000000000018,3.2,1.32664991614216,,,,6.25,,,,8.0,7.2,,,,,-1.3159234277286935,,,,0.8885910395266937,-0.23819771872656012,,7.1499999999999995,1.75,-0.22184336897618664,0.8885910395266937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340201,2,ttth,0,1.0
3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,-0.6000000000000001,0.3999999999999999,1.4,1.4,0.3999999999999999,0.3999999999999999,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,-1.6,3.6,0.9165151389911681,5.4,,7.2,6.5,,,,,,,-1.3995343603146349,,-0.16731702928406858,-1.0212107340432657,,,,,,,6.366666666666667,1.7999999999999998,-0.8626873745473231,-0.16731702928406858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7460108,0,ttth,0,1.0
1.0,5.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,-1.2000000000000002,2.8,0.7999999999999998,1.7999999999999998,0.7999999999999998,-0.20000000000000018,-1.2000000000000002,-1.2000000000000002,-1.2000000000000002,-1.2000000000000002,2.2,1.4000000000000001,,,,7.0,,,,7.75,7.6,,,,,-0.4317853466724099,,,,0.6178283651493949,0.2514796705328112,,7.45,0.75,0.14584089633659872,0.6178283651493949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7510303,5,ttth,0,1.0
1.0,3.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,-1.4,0.6000000000000001,2.6,1.6,0.6000000000000001,-0.3999999999999999,-0.3999999999999999,-1.4,-0.3999999999999999,-1.4,2.4,1.2806248474865698,6.5,,6.6,6.6,,,,,,,-0.4113854758351315,,-0.7462001447178707,-0.9033256565690949,,,,,,,6.566666666666666,0.09999999999999964,-0.6869704257073658,-0.4113854758351315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480202,0,ttth,0,1.0
5.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,0.9000000000000004,0.9000000000000004,-1.0999999999999996,0.9000000000000004,-1.0999999999999996,-0.09999999999999964,-1.0999999999999996,0.9000000000000004,-0.09999999999999964,-0.09999999999999964,4.1,0.8306623862918074,5.4,,8.0,8.5,,,,,,,-1.3995343603146349,,0.6045271246276667,1.3364908154401571,,,,,,,7.3,3.0999999999999996,0.18049452658439633,1.3364908154401571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7220204,8,ttth,0,1.0
5.0,1.0,3.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,2.5,-1.5,0.5,-1.5,2.5,-1.5,0.5,-1.5,0.5,-0.5,2.5,1.5,,,9.2,7.4,,,7.0,,,,,,1.762293355495269,0.03975496322427506,,,-0.5016100961877937,,,,7.866666666666667,2.1999999999999993,0.4334794075105835,1.762293355495269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7220204,8,ttth,0,1.0
1.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,-2.6,1.4,1.4,0.3999999999999999,-0.6000000000000001,0.3999999999999999,0.3999999999999999,-1.6,0.3999999999999999,0.3999999999999999,3.6,1.2,,,,6.5,,,,8.5,6.6,,,,,-1.0212107340432657,,,,1.4301163882812915,-0.9727138026156187,,7.2,2.0,-0.18793604945919762,1.4301163882812915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340122,1,ttth,0,1.0
2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,0.20000000000000018,0.20000000000000018,1.2000000000000002,0.20000000000000018,1.2000000000000002,0.20000000000000018,-0.7999999999999998,2.8,0.7483314773547882,5.0,,8.6,8.25,,,,,,,-1.758861227398091,,1.1834102400614679,1.0417781217547293,,,,,,,7.283333333333334,3.5999999999999996,0.1554423781393687,1.1834102400614679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7380107,8,ttth,0,1.0
3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,-0.7999999999999998,0.20000000000000018,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,0.20000000000000018,1.2000000000000002,1.2000000000000002,1.2000000000000002,3.8,0.8717797887081347,7.0,,8.4,8.6,,,,,,,0.03777310801918832,,0.9904492015835347,1.4543758929143278,,,,,,,8.0,1.5999999999999996,0.8275327341723502,1.4543758929143278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340101,1,ttth,0,1.0
3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,-1.2000000000000002,0.7999999999999998,-1.2000000000000002,-1.2000000000000002,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,-0.20000000000000018,-0.20000000000000018,4.2,0.8717797887081347,6.0,,7.8,7.0,,,,,,,-0.8605440596894514,,0.4115660861497326,-0.4317853466724099,,,,,,,6.933333333333334,1.7999999999999998,-0.2935877734040429,0.4115660861497326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7340201,2,ttth,0,1.0
3.0,1.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,5.0,-0.2999999999999998,-2.3,-0.2999999999999998,0.7000000000000002,0.7000000000000002,-0.2999999999999998,1.7000000000000002,-1.2999999999999998,-0.2999999999999998,1.7000000000000002,3.3,1.1874342087037917,7.2,,6.2,7.5,,,,,,,0.21743654156091644,,-1.1321222216737379,0.15764004069844578,,,,,,,6.966666666666666,1.2999999999999998,-0.25234854647145855,0.21743654156091644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7220201,8,ttth,0,1.0
3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,-0.7000000000000002,-0.7000000000000002,0.2999999999999998,-0.7000000000000002,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.2999999999999998,-0.7000000000000002,1.2999999999999998,3.7,0.6403124237432849,7.8,,7.4,8.75,,,,,,,0.7564268421860999,,0.025644009193865447,1.631203509125585,,,,,,,7.983333333333333,1.3499999999999996,0.8044247868351834,1.631203509125585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340120,1,ttth,0,1.0
5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,1.1,-0.8999999999999999,0.10000000000000009,1.1,0.10000000000000009,-0.8999999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,-0.8999999999999999,3.9,0.7,,,,6.75,,,,9.0,7.8,,,,,-0.7264980403578377,,,,1.9716417370358892,0.49631836516249733,,7.8500000000000005,2.25,0.5804873539468496,1.9716417370358892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7340101,1,ttth,0,1.0
1.0,5.0,5.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,-1.6,2.4,2.4,0.3999999999999999,2.4,-0.6000000000000001,-0.6000000000000001,-1.6,-1.6,-1.6,2.6,1.685229954635272,,,7.8,6.5,,,,7.0,,,,,0.4115660861497326,-1.0212107340432657,,,,-0.19445965798250175,,,7.1000000000000005,1.2999999999999998,-0.268034768625345,0.4115660861497326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7510303,5,ttth,0,1.0
5.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.7999999999999998,-1.2000000000000002,-0.20000000000000018,-0.20000000000000018,-1.2000000000000002,-0.20000000000000018,0.7999999999999998,0.7999999999999998,-0.20000000000000018,-0.20000000000000018,3.2,0.8717797887081347,,,,6.5,,,,7.25,7.0,,,,,-1.0212107340432657,,,,0.07630301639479713,-0.4830364133562463,,6.916666666666667,0.75,-0.47598137700157167,0.07630301639479713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7480201,0,ttth,0,1.0
