likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu,ma_nganh,ma_nhom,nguon,rui_ro_vong_tron,sample_weight
4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-2.0,0.0,4.0,0.8944271909999159,,,,8.0,,,,7.25,8.4,,,,,0.7470654280693014,,,,0.0763030163947971,1.230834449051556,,7.883333333333333,1.1500000000000004,0.6847342978385514,1.230834449051556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7540101,7,ttth,0,1.0
3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,-0.1,-0.1,-0.1,-0.1,-1.1,-1.1,0.8999999999999999,0.8999999999999999,0.8999999999999999,-0.1,3.1,0.7,,,,5.5,,,,,7.75,7.4,,,,-2.200061508784977,,,,,0.4351086915050761,0.3731198493783866,6.883333333333333,2.25,-0.4639443226338381,0.4351086915050761,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7540101,7,ttth,0,1.0
5.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,1.5,-2.5,1.5,0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5,3.5,1.118033988749895,,,,8.75,,,,7.5,7.8,,,,,1.631203509125585,,,,0.347065690772096,0.4963183651624973,,8.016666666666667,1.25,0.8248625216867261,1.631203509125585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7340120,1,ttth,0,1.0
2.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,-1.7999999999999998,0.2000000000000001,-0.7999999999999998,-0.7999999999999998,0.2000000000000001,1.2000000000000002,1.2000000000000002,1.2000000000000002,-0.7999999999999998,0.2000000000000001,3.8,0.9797958971132712,5.4,,8.2,8.25,,,,,,,-1.3995343603146349,,0.7974881631055998,1.0417781217547293,,,,,,,7.283333333333334,2.8499999999999996,0.146577308181898,1.0417781217547293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340129,7,ttth,0,1.0
4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,0.7999999999999998,-1.2000000000000002,0.7999999999999998,0.7999999999999998,-0.2000000000000001,-0.2000000000000001,4.2,0.6,,,8.8,7.75,,,,8.8,,,,,1.3763712785394029,0.4523527343838736,,,,1.755031597534051,,,8.450000000000001,1.0500000000000007,1.1945852034857758,1.755031597534051,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7220201,8,ttth,0,1.0
4.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,2.0,2.0,1.4,-0.6000000000000001,0.3999999999999999,0.3999999999999999,-0.6000000000000001,-0.6000000000000001,-1.6,2.4,-0.6000000000000001,-0.6000000000000001,2.6,1.1135528725660042,,,,8.6,,,,7.0,7.5,,,,,1.4543758929143278,,,,-0.1944596579825017,0.1290603232179686,,7.7,1.5999999999999996,0.4629921860499315,1.4543758929143278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7810202,4,ttth,0,1.0
3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,0.7999999999999998,0.7999999999999998,-0.2000000000000001,0.7999999999999998,-0.2000000000000001,-1.2000000000000002,-1.2000000000000002,-1.2000000000000002,1.7999999999999998,-0.2000000000000001,2.2,0.9797958971132712,8.25,,8.4,7.4,,,,,,,1.160669567654988,,0.9904492015835348,0.039754963224275,,,,,,,8.016666666666666,1.0,0.7302912441542659,1.160669567654988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340120,1,ttth,0,1.0
4.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,0.5,-0.5,0.5,1.5,0.5,-1.5,-1.5,-0.5,0.5,0.5,3.5,0.9219544457292888,,,,8.2,,,,7.75,7.75,,,,,0.982835583017643,,,,0.6178283651493949,0.4351086915050761,,7.9,0.4499999999999993,0.6785908798907045,0.982835583017643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340201,2,ttth,0,1.0
4.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,0.8999999999999999,-1.1,-1.1,0.8999999999999999,0.8999999999999999,-1.1,-0.1,-1.1,0.8999999999999999,0.8999999999999999,3.1,0.9433981132056604,6.2,,6.2,8.0,,,,,,,-0.6808806261477233,,-1.132122221673738,0.7470654280693014,,,,,,,6.8,1.7999999999999998,-0.3553124732507198,0.7470654280693014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7380107,8,ttth,0,1.0
1.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,-1.5,-1.5,-1.5,1.5,0.5,0.5,-0.5,-0.5,1.5,1.5,2.5,1.2041594578792296,,,,8.0,,,,7.5,7.4,,,,,0.7470654280693014,,,,0.347065690772096,0.006640975903126,,7.633333333333333,0.5999999999999996,0.3669240315815078,0.7470654280693014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7510303,5,ttth,0,1.0
