ma,ten,nhom,vong_tron,n_hoc,n_test,top5_kham_pha
7510402,Công nghệ vật liệu,6,0,16,18,0.0
7510406,Công nghệ kỹ thuật môi trường,7,0,30,6,0.0
7540105,Công nghệ chế biến thủy sản,7,0,59,7,0.14285714285714285
7819009,Khoa học dinh dưỡng và ẩm thực,4,0,76,10,0.2
7460108,Khoa học dữ liệu,0,0,89,11,0.18181818181818182
7340205,Công nghệ tài chính,2,0,101,17,0.29411764705882354
7510601,Quản lý Công nghiệp,3,1,102,7,1.0
7510605,Logistics và quản lý chuỗi cung ứng,3,1,102,10,0.8
7810101,Du lịch,4,1,102,10,1.0
7480107,Trí tuệ nhân tạo,0,1,102,15,0.7333333333333333
7380101,Luật,8,1,102,10,0.9
7340123,Kinh doanh thời trang và dệt may,3,0,107,9,0.2222222222222222
7819010,Khoa học chế biến món ăn,4,0,129,8,0.25
7520115,Kỹ thuật nhiệt,6,0,129,16,0.4375
7850101,Quản lý tài nguyên và môi trường,7,0,142,9,0.6666666666666666
7340122,Thương mại điện tử,1,0,164,19,0.15789473684210525
7540204,"Công nghệ dệt, may",6,0,227,17,0.5882352941176471
7810103,Quản trị dịch vụ du lịch và lữ hành,4,0,291,22,0.45454545454545453
7340129,Quản trị kinh doanh thực phẩm,7,0,292,10,0.4
7540106,Đảm bảo chất lượng và an toàn thực phẩm,7,0,294,10,0.8
7220204,Ngôn ngữ Trung Quốc,8,0,302,18,0.5
7420201,Công nghệ sinh học,7,0,314,27,0.8888888888888888
7510401,Công nghệ kỹ thuật hóa học,6,0,337,23,0.6956521739130435
7810202,Quản trị nhà hàng và dịch vụ ăn uống,4,0,355,16,0.8125
7510202,Công nghệ chế tạo máy,5,0,364,12,0.6666666666666666
7510203,Công nghệ kỹ thuật cơ điện tử,5,0,384,21,0.5714285714285714
7810201,Quản trị khách sạn,4,0,406,12,0.9166666666666666
7510301,Công nghệ kỹ thuật điện - điện tử,5,0,420,26,0.38461538461538464
7220201,Ngôn ngữ Anh,8,0,514,23,0.8260869565217391
7480202,An toàn thông tin,0,0,520,12,0.8333333333333334
7510303,Công nghệ kỹ thuật điều khiển và TĐH,5,0,522,20,0.85
7380107,Luật kinh tế,8,0,683,20,0.65
7340301,Kế toán,2,0,692,27,0.5555555555555556
7340115,Marketing,1,0,704,24,0.5833333333333334
7340120,Kinh doanh quốc tế,1,0,726,14,0.5714285714285714
7340201,Tài chính ngân hàng,2,0,759,24,0.9166666666666666
7540101,Công nghệ thực phẩm,7,0,794,47,0.574468085106383
7340101,Quản trị kinh doanh,1,0,842,22,0.5909090909090909
7480201,Công nghệ thông tin,0,0,1557,47,0.7872340425531915
