thoi_gian,nganh_hoc,gioi_tinh,to_hop_thi,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,muc_tieu_ma,muc_tieu_nhan,ghi_chu_thieu_du_lieu
7/18/2026 12:09,Công nghệ thông tin,Nam,"A01 (Toán, Lý, Anh)",2,4,5,3,5,3,3,4,3,3,,,7.8,7.8,,,,7.3,,,1,Đi làm,
7/18/2026 13:07,Công nghệ thông tin,Nam,"A01 (Toán, Lý, Anh)",2,4,3,5,4,2,2,2,3,2,,,8.6,7.5,,,,8.5,,,1,Đi làm,
7/18/2026 13:08,Công nghệ thông tin,Nam,"A01 (Toán, Lý, Anh)",3,3,3,3,3,3,3,3,3,3,,,7.8,8.3,,,,7.3,,,1,Đi làm,
7/18/2026 13:21,Quản trị dịch vụ du lịch và lữ hành,Nam,"D01 (Toán, Văn, Anh)",3,2,1,2,1,3,3,1,2,2,8.25,,6.5,8,,,,,,,1,Đi làm,
7/18/2026 13:34,Tài chính ngân hàng,Nam,"A01 (Toán, Lý, Anh)",3,5,3,3,5,3,3,3,3,3,,,8.2,8,,,,6.8,,,4,Chưa xác định,
7/18/2026 14:17,Thương mại điện tử,Nữ,"A01 (Toán, Lý, Anh)",4,2,4,4,4,2,4,4,4,4,,,6.5,7,,,,8.5,,,1,Đi làm,
7/18/2026 14:25,Công nghệ thông tin,Nữ,"A00 (Toán, Lý, Hóa)",4,3,3,3,3,2,2,3,3,3,,,,7.6,,,,6.8,7.2,,1,Đi làm,
7/18/2026 14:36,Quản trị kinh doanh,Nữ,"D01 (Toán, Văn, Anh)",3,4,3,3,3,2,2,3,3,3,8.25,,5.6,7.6,,,,,,,1,Đi làm,
7/18/2026 14:41,Quản trị kinh doanh,Nam,"A00 (Toán, Lý, Hóa)",4,2,2,4,4,2,4,4,4,2,,,,8.3,,,,7.5,7,,1,Đi làm,
7/18/2026 14:45,Khoa học dinh dưỡng và ẩm thực,Nam,"A01 (Toán, Lý, Anh)",1,1,1,1,1,1,1,1,1,1,,,10,10,,,,10,,,1,Đi làm,
7/18/2026 14:46,Marketing,Nữ,"A00 (Toán, Lý, Hóa)",3,3,3,4,4,1,4,4,2,3,,,,7,,,,8,8,,1,Đi làm,
7/18/2026 15:08,Marketing,Nữ,"A01 (Toán, Lý, Anh)",3,4,4,4,5,3,4,4,4,5,,,7.2,8.8,,,,8.25,,,1,Đi làm,
7/18/2026 15:22,Tài chính ngân hàng,Nữ,"D01 (Toán, Văn, Anh)",4,4,4,4,4,2,4,4,4,4,8.5,,6,7.5,,,,,,,3,Kinh doanh,
7/18/2026 16:17,Luật kinh tế,Nam,"A00 (Toán, Lý, Hóa)",4,2,4,4,5,3,4,3,5,4,,,,8,,,,8,7.8,,3,Kinh doanh,
7/18/2026 16:31,Tài chính ngân hàng,Nữ,"A00 (Toán, Lý, Hóa)",4,4,4,3,4,3,4,4,4,4,,,,8,,,,8,8,,1,Đi làm,
7/18/2026 18:06,Tài chính ngân hàng,Nữ,"A00 (Toán, Lý, Hóa)",5,5,5,5,5,5,5,5,5,5,,,,10,,,,10,10,,1,Đi làm,
7/18/2026 18:35,Kế toán,Nam,"A00 (Toán, Lý, Hóa)",5,5,5,5,5,5,5,5,5,5,,,,8,,,,8,8,,1,Đi làm,
7/18/2026 18:43,Tài chính ngân hàng,Nữ,"D01 (Toán, Văn, Anh)",3,4,4,2,4,2,4,4,3,4,7,,7.8,7.6,,,,,,,1,Đi làm,
7/18/2026 19:38,Kế toán,Nữ,"A01 (Toán, Lý, Anh)",3,4,4,5,5,3,3,4,4,4,,,7.5,8,,,,8.2,,,3,Kinh doanh,
7/18/2026 20:05,Thương mại điện tử,Nam,"A00 (Toán, Lý, Hóa)",4,3,5,4,4,1,1,1,1,1,,,,8,,,,8,8,,1,Đi làm,
7/18/2026 21:12,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",3,4,4,5,4,2,1,1,3,2,,,,8.2,,,,7.6,8,,1,Đi làm,
7/18/2026 21:12,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",3,4,4,5,4,2,1,1,3,2,,,,8.2,,,,7.6,8,,1,Đi làm,
7/18/2026 21:14,Quản lý tài nguyên và môi trường,Nam,"B00 (Toán, Hóa, Sinh)",3,3,3,3,3,2,5,3,2,1,,,,9,,,,,6.25,8,1,Đi làm,
7/18/2026 22:48,Tài chính ngân hàng,Nữ,"A00 (Toán, Lý, Hóa)",3,3,3,3,3,3,4,3,4,4,,,,7.8,,,,7.5,8.2,,1,Đi làm,
7/18/2026 22:55,Luật kinh tế,Nữ,"D01 (Toán, Văn, Anh)",5,5,5,5,5,5,5,5,5,5,8,,6,7.25,,,,,,,1,Đi làm,
7/18/2026 23:12,Tài chính ngân hàng,Nữ,"A01 (Toán, Lý, Anh)",3,3,3,3,3,3,3,4,3,3,,,8,8,,,,8,,,1,Đi làm,
