ma_nganh,nganh_hoc,ma_khoi,ten_khoi,so_phieu
7220201,Ngôn ngữ Anh,6,Ngoại ngữ,23
7220204,Ngôn ngữ Trung Quốc,6,Ngoại ngữ,18
7340101,Quản trị kinh doanh,1,Kinh doanh & Quản lý,22
7340115,Marketing,1,Kinh doanh & Quản lý,24
7340120,Kinh doanh quốc tế,1,Kinh doanh & Quản lý,14
7340122,Thương mại điện tử,1,Kinh doanh & Quản lý,19
7340123,Kinh doanh thời trang và dệt may,1,Kinh doanh & Quản lý,9
7340129,Quản trị kinh doanh thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",10
7340201,Tài chính ngân hàng,1,Kinh doanh & Quản lý,24
7340205,Công nghệ tài chính,1,Kinh doanh & Quản lý,17
7340301,Kế toán,1,Kinh doanh & Quản lý,27
7380101,Luật,5,Luật,10
7380107,Luật kinh tế,5,Luật,20
7420201,Công nghệ sinh học,4,"Thực phẩm, Sinh học & Môi trường",27
7460108,Khoa học dữ liệu,0,CNTT & Máy tính,11
7480107,Trí tuệ nhân tạo,0,CNTT & Máy tính,15
7480201,Công nghệ thông tin,0,CNTT & Máy tính,47
7480202,An toàn thông tin,0,CNTT & Máy tính,12
7510202,Công nghệ chế tạo máy,3,Kỹ thuật & Công nghệ,12
7510203,Công nghệ kỹ thuật cơ điện tử,3,Kỹ thuật & Công nghệ,21
7510301,Công nghệ kỹ thuật điện - điện tử,3,Kỹ thuật & Công nghệ,26
7510303,Công nghệ kỹ thuật điều khiển và TĐH,3,Kỹ thuật & Công nghệ,20
7510401,Công nghệ kỹ thuật hóa học,3,Kỹ thuật & Công nghệ,23
7510402,Công nghệ vật liệu,3,Kỹ thuật & Công nghệ,18
7510406,Công nghệ kỹ thuật môi trường,4,"Thực phẩm, Sinh học & Môi trường",6
7510601,Quản lý Công nghiệp,1,Kinh doanh & Quản lý,7
7510605,Logistics và quản lý chuỗi cung ứng,1,Kinh doanh & Quản lý,10
7520115,Kỹ thuật nhiệt,3,Kỹ thuật & Công nghệ,16
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",47
7540105,Công nghệ chế biến thủy sản,4,"Thực phẩm, Sinh học & Môi trường",7
7540106,Đảm bảo chất lượng và an toàn thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",10
7540204,"Công nghệ dệt, may",3,Kỹ thuật & Công nghệ,17
7810101,Du lịch,2,"Du lịch, Khách sạn & Ẩm thực",10
7810103,Quản trị dịch vụ du lịch và lữ hành,2,"Du lịch, Khách sạn & Ẩm thực",22
7810201,Quản trị khách sạn,2,"Du lịch, Khách sạn & Ẩm thực",12
7810202,Quản trị nhà hàng và dịch vụ ăn uống,2,"Du lịch, Khách sạn & Ẩm thực",16
7819009,Khoa học dinh dưỡng và ẩm thực,2,"Du lịch, Khách sạn & Ẩm thực",10
7819010,Khoa học chế biến món ăn,2,"Du lịch, Khách sạn & Ẩm thực",8
7850101,Quản lý tài nguyên và môi trường,4,"Thực phẩm, Sinh học & Môi trường",9
