to_hop_thi,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,ma_nganh,j_nganh,ma_nhom,i_trong_nganh
D01,8.75,,8.0,8.8,,,,,,,ttth,7220201,0,6,0
A01,,,9.0,8.0,,,,7.25,,,ttth,7220201,0,6,1
A01,,,9.0,8.4,,,,6.75,,,ttth,7220201,0,6,2
D01,7.75,,8.0,8.4,,,,,,,ttth,7220201,0,6,3
D01,7.75,,9.2,8.4,,,,,,,ttth,7220201,0,6,4
D01,8.2,,7.8,8.25,,,,,,,ttth,7220201,0,6,5
A01,,,9.0,7.2,,,,7.25,,,ttth,7220201,0,6,6
D01,8.8,,5.4,7.5,,,,,,,ttth,7220201,0,6,7
D01,8.0,,8.6,7.4,,,,,,,ttth,7220201,0,6,8
D01,7.0,,6.6,7.5,,,,,,,ttth,7220201,0,6,9
A01,,,9.2,7.4,,,,7.5,,,ttth,7220201,0,6,10
D01,9.0,,7.2,7.6,,,,,,,ttth,7220201,0,6,11
D01,8.25,,7.6,8.4,,,,,,,ttth,7220201,0,6,12
A01,,,7.2,6.5,,,,8.4,,,ttth,7220201,0,6,13
D01,8.5,,7.8,7.2,,,,,,,ttth,7220201,0,6,14
A01,,,6.2,6.0,,,,9.2,,,ttth,7220201,0,6,15
D01,7.4,,7.2,7.25,,,,,,,ttth,7220201,0,6,16
D01,7.25,,9.0,8.2,,,,,,,ttth,7220201,0,6,17
D01,8.6,,7.0,7.5,,,,,,,ttth,7220201,0,6,18
D01,7.75,,8.8,8.2,,,,,,,ttth,7220201,0,6,19
D01,6.75,,9.0,7.8,,,,,,,ttth,7220201,0,6,20
D01,7.25,,7.8,8.6,,,,,,,ttth,7220201,0,6,21
A01,,,9.2,6.8,,,,6.75,,,ttth,7220201,0,6,22
D01,7.75,,8.6,7.6,,,,,,,ttth,7220201,0,6,23
D01,8.6,,7.4,7.75,,,,,,,ttth,7220201,0,6,24
D01,7.0,,9.2,7.8,,,,,,,ttth,7220201,0,6,25
D09,,,8.2,8.75,,,6.8,,,,ttth,7220201,0,6,26
D01,8.8,,7.4,6.5,,,,,,,ttth,7220201,0,6,27
D01,7.5,,8.8,7.4,,,,,,,ttth,7220201,0,6,28
A01,,,7.8,7.5,,,,8.4,,,ttth,7220201,0,6,29
D01,7.6,,7.6,8.0,,,,,,,ttth,7220201,0,6,30
D01,7.42,,8.2,7.8,,,,,,,ttth,7220201,0,6,31
D09,,,7.6,7.75,,,9.2,,,,ttth,7220201,0,6,32
A01,,,9.0,8.4,,,,8.5,,,ttth,7220201,0,6,33
A01,,,7.8,8.0,,,,7.4,,,ttth,7220201,0,6,34
A01,,,7.2,8.75,,,,8.8,,,ttth,7220201,0,6,35
D01,7.25,,9.4,8.0,,,,,,,ttth,7220201,0,6,36
A01,,,8.2,8.5,,,,7.0,,,ttth,7220201,0,6,37
D01,7.5,,9.0,8.2,,,,,,,ttth,7220201,0,6,38
D01,6.5,,8.4,8.4,,,,,,,ttth,7220201,0,6,39
D01,8.25,,7.8,7.0,,,,,,,ttth,7220201,0,6,40
D01,7.25,,8.8,7.6,,,,,,,ttth,7220201,0,6,41
D01,7.75,,8.8,7.2,,,,,,,ttth,7220201,0,6,42
D01,7.5,,8.8,7.0,,,,,,,ttth,7220201,0,6,43
D01,7.6,,6.2,8.75,,,,,,,ttth,7220201,0,6,44
D09,,,8.2,7.2,,,7.5,,,,ttth,7220201,0,6,45
A01,,,8.0,7.5,,,,8.4,,,ttth,7220201,0,6,46
D01,6.6,,7.2,7.75,,,,,,,ttth,7220201,0,6,47
A01,,,8.4,7.8,,,,7.25,,,ttth,7220201,0,6,48
A01,,,9.4,8.2,,,,6.25,,,ttth,7220201,0,6,49
D01,8.0,,8.8,7.0,,,,,,,ttth,7220201,0,6,50
D01,9.6,,8.2,7.25,,,,,,,ttth,7220201,0,6,51
A01,,,9.0,8.0,,,,7.5,,,ttth,7220201,0,6,52
A01,,,7.8,8.5,,,,7.4,,,ttth,7220201,0,6,53
D01,6.25,,9.0,7.6,,,,,,,ttth,7220201,0,6,54
