SBD,ma_nganh,to_hop_thi,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,ma_nhom
2035029,7540101,B00,,,,8.25,,,,,8.25,8.0,7
2075656,7380107,A00,,,,8.0,,,,7.5,6.5,,8
2040618,7510202,D01,8.0,,4.8,7.0,,,,,,,5
2042637,7810202,D01,7.8,,7.2,5.75,,,,,,,4
42010058,7340201,A01,,,7.6,8.0,,,,8.0,,,2
2071171,7340101,A00,,,,6.5,,,,8.0,7.0,,1
44013108,7340115,A00,,,,8.0,,,,8.25,7.0,,1
53001416,7340301,A00,,,,6.75,,,,8.25,6.4,,2
53000363,7510303,D01,8.5,,6.0,6.8,,,,,,,5
47000100,7340301,D01,8.6,,7.2,7.5,,,,,,,2
53003134,7540204,D01,5.4,,5.8,8.0,,,,,,,6
51007299,7420201,B00,,,,7.25,,,,,6.75,7.6,7
2018140,7340201,A01,,,8.8,7.0,,,,7.25,,,2
50011713,7480201,A00,,,,8.0,,,,8.0,7.4,,0
49010421,7340201,A00,,,,6.25,,,,8.0,7.2,,2
49001646,7460108,D01,5.4,,7.2,6.5,,,,,,,0
2044316,7510303,A00,,,,7.0,,,,7.75,7.6,,5
47000190,7480202,D01,6.5,,6.6,6.6,,,,,,,0
30002695,7220204,D01,5.4,,8.0,8.5,,,,,,,8
38006588,7220204,D09,,,9.2,7.4,,,7.0,,,,8
53006409,7340122,A00,,,,6.5,,,,8.5,6.6,,1
28000618,7380107,D01,5.0,,8.6,8.25,,,,,,,8
53003791,7340101,D01,7.0,,8.4,8.6,,,,,,,1
2062741,7340201,D01,6.0,,7.8,7.0,,,,,,,2
47000158,7220201,D01,7.2,,6.2,7.5,,,,,,,8
42011198,7340120,D01,7.8,,7.4,8.75,,,,,,,1
35010633,7340101,A00,,,,6.75,,,,9.0,7.8,,1
2064927,7510303,A01,,,7.8,6.5,,,,7.0,,,5
44002618,7480201,A00,,,,6.5,,,,7.25,7.0,,0
48012628,7480201,D01,8.6,,8.0,7.5,,,,,,,0
2032737,7480201,A01,,,7.2,6.5,,,,7.2,,,0
2073015,7480201,A01,,,8.2,8.0,,,,7.25,,,0
2069444,7810201,D01,9.2,,7.2,7.0,,,,,,,4
41012660,7340101,A00,,,,7.0,,,,7.75,7.2,,1
2054177,7480201,D01,8.0,,8.8,8.6,,,,,,,0
46001849,7810202,D01,4.4,,7.0,6.75,,,,,,,4
53013193,7540101,A00,,,,7.5,,,,8.0,7.8,,7
45003845,7340120,D01,7.5,,8.2,7.6,,,,,,,1
51014856,7810201,A00,,,,6.75,,,,7.0,6.4,,4
40002957,7480201,A00,,,,8.25,,,,7.25,8.2,,0
2006811,7810103,D01,5.6,,7.0,6.0,,,,,,,4
37017631,7480201,A00,,,,7.8,,,,7.75,7.75,,0
43001182,7220201,A01,,,8.6,8.6,,,,7.75,,,8
15005387,7340115,D01,8.8,,6.2,9.0,,,,,,,1
43005714,7220201,A01,,,9.2,7.4,,,,7.25,,,8
52002369,7380107,D01,7.75,,7.2,7.4,,,,,,,8
54009349,7380107,A00,,,,8.6,,,,7.25,8.0,,8
56006283,7510401,A00,,,,7.0,,,,6.75,7.5,,6
37009547,7340101,D01,7.25,,8.0,8.2,,,,,,,1
49002344,7480201,A00,,,,7.25,,,,8.25,8.0,,0
2066151,7480201,D01,7.0,,8.2,7.4,,,,,,,0
54010378,7340101,D01,8.6,,7.8,8.5,,,,,,,1
37006329,7340120,A01,,,7.6,8.5,,,,7.6,,,1
37006813,7480202,D07,,,7.8,6.75,,,,,8.4,,0
48009302,7340301,A00,,,,7.75,,,,7.5,8.0,,2
40019293,7380107,A01,,,8.0,6.75,,,,7.4,,,8
49011916,7340129,D01,6.75,,6.6,7.4,,,,,,,7
2057807,7340115,A00,,,,7.75,,,,7.5,7.8,,1
40005110,7340201,A01,,,7.2,7.5,,,,7.2,,,2
2078663,7510303,A00,,,,7.4,,,,7.5,6.75,,5
37012878,7540204,D01,6.5,,5.6,5.0,,,,,,,6
2049919,7850101,D07,,,6.2,7.4,,,,,4.25,,7
