i,w_that,hp_max_depth,hp_n_estimators,hp_learning_rate,hp_min_child_weight,hp_subsample,hp_colsample_bytree,hp_reg_lambda,hp_gamma,auto_top1,auto_top2,auto_top3,auto_top5,guided_top1,guided_top2,guided_top3,guided_top5,train_guided_top3,train_auto_top3,gap_top3,hop_le
0,1.0,2,400,0.08,6,0.7,0.8,1.0,0.3,0.13763066202090593,0.259581881533101,0.31881533101045295,0.41114982578397213,0.37630662020905925,0.6358885017421603,0.8048780487804879,0.9477351916376306,0.9429442508710801,0.7465156794425087,0.13806620209059228,True
1,1.0,2,200,0.12,12,1.0,0.6,100.0,0.3,0.13066202090592335,0.21254355400696864,0.28397212543554007,0.3832752613240418,0.3623693379790941,0.6254355400696864,0.8118466898954704,0.9651567944250871,0.8192508710801394,0.38980836236933797,0.007404181184669012,True
2,2.0,6,100,0.08,3,0.6,0.8,100.0,0.3,0.10801393728222997,0.16898954703832753,0.24390243902439024,0.3501742160278746,0.3693379790940767,0.6533101045296167,0.8205574912891986,0.9668989547038328,0.8392857142857143,0.30923344947735193,0.018728222996515664,True
3,1.0,6,200,0.05,6,0.6,0.3,30.0,0.6,0.1445993031358885,0.23170731707317074,0.30313588850174217,0.39547038327526135,0.3710801393728223,0.6550522648083623,0.8240418118466899,0.9651567944250871,0.8336236933797909,0.40069686411149824,0.009581881533101022,True
4,1.0,6,400,0.05,12,0.6,0.8,100.0,0.1,0.10975609756097561,0.1480836236933798,0.1794425087108014,0.27177700348432055,0.367595818815331,0.6219512195121951,0.8118466898954704,0.9651567944250871,0.818815331010453,0.1916376306620209,0.006968641114982632,True
5,2.0,6,100,0.12,12,1.0,0.8,1.0,0.1,0.14111498257839722,0.24738675958188153,0.3170731707317073,0.4181184668989547,0.3780487804878049,0.6219512195121951,0.8118466898954704,0.9651567944250871,0.8244773519163763,0.4817073170731707,0.012630662020905903,True
6,2.0,4,60,0.08,1,0.8,0.6,200.0,0.3,0.09930313588850175,0.13937282229965156,0.22822299651567945,0.3083623693379791,0.367595818815331,0.6254355400696864,0.8118466898954704,0.9686411149825784,0.8249128919860628,0.24477351916376305,0.013066202090592394,True
7,1.0,6,100,0.05,20,0.7,0.3,30.0,0.6,0.09930313588850175,0.13937282229965156,0.1759581881533101,0.2578397212543554,0.36585365853658536,0.6254355400696864,0.8118466898954704,0.9651567944250871,0.818815331010453,0.18074912891986064,0.006968641114982632,True
8,4.0,4,60,0.08,6,0.7,0.3,30.0,0.3,0.13588850174216027,0.2038327526132404,0.2665505226480836,0.3780487804878049,0.3780487804878049,0.6585365853658537,0.8222996515679443,0.9668989547038328,0.8397212543554007,0.3911149825783972,0.017421602787456414,True
9,4.0,4,60,0.12,12,0.8,0.3,5.0,0.6,0.13414634146341464,0.20905923344947736,0.2804878048780488,0.3693379790940767,0.36585365853658536,0.6219512195121951,0.8118466898954704,0.9651567944250871,0.818815331010453,0.35714285714285715,0.006968641114982632,True
10,2.0,4,400,0.12,3,1.0,0.4,5.0,0.3,0.16898954703832753,0.27177700348432055,0.3588850174216028,0.4721254355400697,0.4250871080139373,0.686411149825784,0.8414634146341463,0.980836236933798,0.9969512195121951,0.9847560975609756,0.1554878048780488,True
11,2.0,2,400,0.03,20,0.6,0.8,100.0,0.6,0.06968641114982578,0.13937282229965156,0.1759581881533101,0.2578397212543554,0.36585365853658536,0.6254355400696864,0.8118466898954704,0.9651567944250871,0.818815331010453,0.1803135888501742,0.006968641114982632,True
12,1.0,4,200,0.05,12,0.8,0.4,30.0,0.3,0.13588850174216027,0.20557491289198607,0.26306620209059234,0.3623693379790941,0.3641114982578397,0.6219512195121951,0.8118466898954704,0.9651567944250871,0.818815331010453,0.3440766550522648,0.006968641114982632,True
13,2.0,2,60,0.03,6,0.8,0.6,30.0,0.6,0.10452961672473868,0.14111498257839722,0.2264808362369338,0.343205574912892,0.37282229965156793,0.6689895470383276,0.8257839721254355,0.9686411149825784,0.8414634146341463,0.2939895470383275,0.015679442508710784,True
14,4.0,2,400,0.08,12,0.8,0.6,1.0,0.3,0.13937282229965156,0.2264808362369338,0.2804878048780488,0.36585365853658536,0.3641114982578397,0.6236933797909407,0.8083623693379791,0.9651567944250871,0.8218641114982579,0.4229094076655052,0.013501742160278773,True
15,2.0,3,200,0.03,3,0.7,0.8,5.0,0.1,0.16202090592334495,0.29965156794425085,0.37630662020905925,0.47909407665505227,0.42857142857142855,0.6951219512195121,0.8571428571428571,0.9703832752613241,0.9847560975609756,0.8092334494773519,0.1276132404181185,True
16,4.0,6,400,0.03,3,1.0,0.3,200.0,0.1,0.11498257839721254,0.19337979094076654,0.2735191637630662,0.37630662020905925,0.38501742160278746,0.6498257839721254,0.8327526132404182,0.9738675958188153,0.8710801393728222,0.38414634146341464,0.03832752613240409,True
17,2.0,3,100,0.08,1,0.8,0.6,100.0,0.6,0.10452961672473868,0.18466898954703834,0.2456445993031359,0.34668989547038326,0.3693379790940767,0.6219512195121951,0.8118466898954704,0.9668989547038328,0.8266550522648084,0.29094076655052264,0.014808362369338024,True
18,1.0,4,100,0.05,20,0.7,0.3,5.0,0.0,0.10627177700348432,0.1480836236933798,0.18292682926829268,0.26480836236933797,0.36585365853658536,0.6254355400696864,0.8118466898954704,0.9651567944250871,0.818815331010453,0.18771777003484322,0.006968641114982632,True
19,2.0,2,400,0.08,12,0.7,0.6,1.0,0.6,0.1132404181184669,0.18118466898954705,0.23867595818815332,0.30313588850174217,0.3623693379790941,0.6236933797909407,0.8118466898954704,0.9651567944250871,0.8196864111498258,0.289198606271777,0.007839721254355392,True
